dst_domain,anchor_text,count
students.unimelb.edu.au,Stop 1,754
students.unimelb.edu.au,Course withdrawal,617
students.unimelb.edu.au,Leave of absence,613
students.unimelb.edu.au,Study Overseas,613
students.unimelb.edu.au,Special consideration,612
students.unimelb.edu.au,Class timetable,612
students.unimelb.edu.au,Advanced standing,612
students.unimelb.edu.au,Enrolling in subjects,611
findanexpert.unimelb.edu.au,(no text),267
findanexpert.unimelb.edu.au,Find an Expert,204
findanexpert.unimelb.edu.au,"Dr
                            
        ",91
findanexpert.unimelb.edu.au,Find an Expert profile,55
findanexpert.unimelb.edu.au,View more,54
findanexpert.unimelb.edu.au,Read more,46
findanexpert.unimelb.edu.au,"Prof
                            
      ",39
findanexpert.unimelb.edu.au,"A/Prof
                            
    ",36
handbook.unimelb.edu.au,View detailed information in the Handboo,2909
handbook.unimelb.edu.au,Handbook,651
handbook.unimelb.edu.au,University Handbook,217
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/subjects,108
handbook.unimelb.edu.au,Arrow-rightHandbook link,102
handbook.unimelb.edu.au,here,27
handbook.unimelb.edu.au,View Handbook entry,24
handbook.unimelb.edu.au,laws50023Legal Method and Reasoning,16
www.unimelb.edu.au,Alumni,835
www.unimelb.edu.au,Giving,835
www.unimelb.edu.au,Visit our Privacy Statement,804
www.unimelb.edu.au,Accessibility,502
www.unimelb.edu.au,(no text),496
www.unimelb.edu.au,"Newsroom
                             
 ",493
www.unimelb.edu.au,"Contact
                             
  ",493
www.unimelb.edu.au,Terms & privacy,493
study.unimelb.edu.au,Study,851
study.unimelb.edu.au,Explore all our courses,103
study.unimelb.edu.au,Arrow-rightFind a course,101
study.unimelb.edu.au,Arrow-rightSupport centre,101
study.unimelb.edu.au,Arrow-rightSkip to main content,100
study.unimelb.edu.au,Arrow-rightHow to apply,99
study.unimelb.edu.au,Arrow-rightContact us,99
study.unimelb.edu.au,0 saved courses,87
gradresearch.unimelb.edu.au,Graduate Research Hub,89
gradresearch.unimelb.edu.au,Preparation of Graduate Research Theses ,40
gradresearch.unimelb.edu.au,Working with my supervisors,39
gradresearch.unimelb.edu.au,Study Away,39
gradresearch.unimelb.edu.au,Apply for Study Away,39
gradresearch.unimelb.edu.au,Mandatory training for graduate research,38
gradresearch.unimelb.edu.au,Responsible Research & Research Integrit,38
gradresearch.unimelb.edu.au,Add or drop coursework subjects,38
about.unimelb.edu.au,Read about our commitment to reconciliat,598
about.unimelb.edu.au,"About us
                             
 ",493
about.unimelb.edu.au,"Careers at Melbourne
                   ",493
about.unimelb.edu.au,"View all Campus locations
              ",493
about.unimelb.edu.au,Privacy,493
about.unimelb.edu.au,Sustainability Framework,109
about.unimelb.edu.au,University in Australia,21
about.unimelb.edu.au,Newsroom,15
mdhs.unimelb.edu.au,MDHS Research library,916
mdhs.unimelb.edu.au,Infection and Immunology,298
mdhs.unimelb.edu.au,Neuroscience,235
mdhs.unimelb.edu.au,Cancer,168
mdhs.unimelb.edu.au,Child Health,130
mdhs.unimelb.edu.au,Explore,25
mdhs.unimelb.edu.au,"Faculty of Medicine, Dentistry and Healt",25
mdhs.unimelb.edu.au,MDHS Research Project Database,20
