domain,url,title
arts.unimelb.edu.au,https://arts.unimelb.edu.au/public-humanities-initiative/missperceived/episodes/do-men-feel-guilt-the-science-of-guilt-motherhood-and-why-you-cant-stop-upscaling,"Do Men Feel Guilt? The Science of Guilt, Motherhood & Why You Can't Stop Upscaling"
arts.unimelb.edu.au,https://arts.unimelb.edu.au/public-humanities-initiative/missperceived/episodes/why-dinner-time-feels-so-hard-the-mental-load-behind-every-meal,Why Dinner Time Feels So Hard: The Mental Load Behind Every Meal
arts.unimelb.edu.au,https://arts.unimelb.edu.au/public-humanities-initiative/missperceived/episodes/let-them-why-letting-go-and-delegating-feels-so-hard,Let Them: Why Letting Go and Delegating Feels So Hard
arts.unimelb.edu.au,https://arts.unimelb.edu.au/enlightenment-romanticism-contemporary-culture/news-and-events/disaffection-seminar-6-disaffected-the-cultural-politics-of-unfeeling,Disaffection Seminar 6 - Disaffected: The Cultural Politics of Unfeeling
arts.unimelb.edu.au,https://arts.unimelb.edu.au/scholarships/payments,Payments
arts.unimelb.edu.au,https://arts.unimelb.edu.au/about/arts-teaching-innovation-ati/more-of-the-same-rendering-of-self-in-llm-writing-and-feedback-processes,More of the Same: Rendering of Self in LLM Writing and Feedback Processes
arts.unimelb.edu.au,https://arts.unimelb.edu.au/students/graduate-coursework/census-dates,Check your subject census dates : The University of Melbourne
arts.unimelb.edu.au,https://arts.unimelb.edu.au/study/graduate-coursework/fees-and-payments,
biomedicalsciences.unimelb.edu.au,https://biomedicalsciences.unimelb.edu.au/sbs-research-groups/anatomy-and-physiology-research/neuroscience/development-of-the-enteric-nervous-system/new-therapies-for-glioma,A gut feeling about new therapies for glioma
biomedicalsciences.unimelb.edu.au,https://biomedicalsciences.unimelb.edu.au/departments/microbiology-Immunology/research/services/microbiological-diagnostic-unit-public-health-laboratory/feedback2,Leave your Feedback
biomedicalsciences.unimelb.edu.au,https://biomedicalsciences.unimelb.edu.au/news-and-events/archive-news/a-gut-feeling-about-new-therapies-for-glioma-research,A gut feeling about new therapies for glioma research
education.unimelb.edu.au,https://education.unimelb.edu.au/study/financial-support,Financial Support | Faculty of Education
education.unimelb.edu.au,https://education.unimelb.edu.au/study/graduate-research/current-students/student-support-services/financial-aid,Support and wellbeing | Current students | The University of Melbourne
education.unimelb.edu.au,"https://education.unimelb.edu.au/aerc/events/aerc-seminar-teachers-feedback-to-students-in-the-past,-present-and-future.","AERC Seminar: Teacher's feedback to students in the past, present and future."
education.unimelb.edu.au,"https://education.unimelb.edu.au/life-patterns/about/news-and-updates/wyn-on-sbs-2,-the-feed",New research: Do Gen Y face the worst job prospects?
eng.unimelb.edu.au,https://eng.unimelb.edu.au/partnerships/airwallex/student-enrichment/coffee-sponsorship,Coffee sponsorship
eng.unimelb.edu.au,https://eng.unimelb.edu.au/students/coursework/student-experience/orientation/after-orientation/your-feedback/feedback,Orientation feedback survey
eng.unimelb.edu.au,https://eng.unimelb.edu.au/industry/sustainable-resources/research/materials-green-energy-revolution,Materials to feed the green energy revolution
fbe.unimelb.edu.au,https://fbe.unimelb.edu.au/newsroom/feeling-underqualified-can-be-a-superpower-or-a-potential-trap,Feeling underqualified can be a superpower (or a potential trap)
fbe.unimelb.edu.au,https://fbe.unimelb.edu.au/research/our-research-at-a-glance/financial-misreporting-to-penalise-or-not,Financial misreporting – to penalise or not?
fbe.unimelb.edu.au,https://fbe.unimelb.edu.au/research/our-research-at-a-glance/decision-making-wellbeing,Improving decision-making capacity and financial wellbeing​
fbe.unimelb.edu.au,https://fbe.unimelb.edu.au/study/phd/research_fees,Graduate Research Stipend and Fee Remission Scholarships
fbe.unimelb.edu.au,https://fbe.unimelb.edu.au/newsroom/strong-support-for-covid-vaccine-while-financial-stress-and-mental-distress-remain-high,Strong support for COVID vaccine; financial stress and mental distress remain high
