type,domain,url,title
sandbox,arts.unimelb.edu.au,https://arts.unimelb.edu.au/language-testing-research-centre,Home — Language Testing Research Centre | Faculty of Arts
sandbox,arts.unimelb.edu.au,https://arts.unimelb.edu.au/students/undergraduate/resources-and-support/language-placement-tests,Language placement tests
sandbox,arts.unimelb.edu.au,https://arts.unimelb.edu.au/language-testing-research-centre/research/projects/past-projects/language-placement-test-review,Language placement test review
sandbox,arts.unimelb.edu.au,https://arts.unimelb.edu.au/language-testing-research-centre/welcome/about,About us — Language Testing Research Centre | Faculty of Arts
sandbox,arts.unimelb.edu.au,https://arts.unimelb.edu.au/language-testing-research-centre/welcome/announcing-sila-early-view,Announcing SiLA Early View articles
sandbox,arts.unimelb.edu.au,https://arts.unimelb.edu.au/language-testing-research-centre/welcome/ltrc-awarded-pearson-grant,LTRC awarded Pearson grant
sandbox,arts.unimelb.edu.au,https://arts.unimelb.edu.au/language-testing-research-centre/welcome/ltrc-awarded-lttc-grant,LTRC awarded LTTC grant
sandbox,arts.unimelb.edu.au,https://arts.unimelb.edu.au/language-testing-research-centre/welcome/academics-from-ltrc-and-anu-publish-test-selection-guide-for-university-admissions-staff,Test selection guide for university admissions staff
sandbox,arts.unimelb.edu.au,https://arts.unimelb.edu.au/language-testing-research-centre/welcome/registrations-open-altaanz-conference-2025,Registrations open ALTAANZ conference 2025
sandbox,arts.unimelb.edu.au,https://arts.unimelb.edu.au/language-testing-research-centre/welcome/impact-of-language-testing-scholars-at-uom-recognised,Impact of language testing scholars at UoM recognised
sandbox,arts.unimelb.edu.au,https://arts.unimelb.edu.au/language-testing-research-centre/welcome/altaanz-conference-2025,ALTAANZ Conference 2025
sandbox,arts.unimelb.edu.au,https://arts.unimelb.edu.au/language-testing-research-centre/welcome/ltrc-seminar-on-university-based-language-assessment,LTRC seminar September 12 2024 A/P Li Liu
sandbox,arts.unimelb.edu.au,https://arts.unimelb.edu.au/language-testing-research-centre/welcome/new-book-on-rasch-measurement-theory-published,New book on Rasch measurement theory published
sandbox,arts.unimelb.edu.au,https://arts.unimelb.edu.au/language-testing-research-centre/welcome/alumni-series-an-interview-with-dr-michael-davey,Alumni Series: An Interview with Dr Michael Davey
sandbox,arts.unimelb.edu.au,https://arts.unimelb.edu.au/language-testing-research-centre/welcome/test-score-comparison-tables-how-well-are-they-serving-test-users,Test score comparison tables: How well are they serving test users?
sandbox,arts.unimelb.edu.au,https://arts.unimelb.edu.au/language-testing-research-centre/welcome/past-news/news-archive/ltrc-seminar-april-18-ap-xun-yan,LTRC seminar April 18 A/P Xun Yan
sandbox,arts.unimelb.edu.au,https://arts.unimelb.edu.au/language-testing-research-centre/welcome/software-engineering-students-work-with-ltrc-team,Software engineering student project for language testing
sandbox,arts.unimelb.edu.au,https://arts.unimelb.edu.au/language-testing-research-centre/welcome/plta-best-paper-award-winner2016-2018,PLTA Best Paper Award Winner 2016-2018
sandbox,arts.unimelb.edu.au,https://arts.unimelb.edu.au/language-testing-research-centre/welcome/rasch-measurement-workshop-series,Rasch measurement workshop series
sandbox,arts.unimelb.edu.au,https://arts.unimelb.edu.au/language-testing-research-centre/welcome/language-testing-reviewer-of-the-year-award-2023,Language Testing Reviewer of the Year Award 2023
sandbox,arts.unimelb.edu.au,https://arts.unimelb.edu.au/language-testing-research-centre/welcome/ilta-best-article-award-winner-2021,ILTA Best Article Award Winner 2021
sandbox,arts.unimelb.edu.au,https://arts.unimelb.edu.au/language-testing-research-centre/welcome/past-news/new-book-published2,New book published
sandbox,arts.unimelb.edu.au,https://arts.unimelb.edu.au/language-testing-research-centre/welcome/past-news/new-book-published,New book published
sandbox,arts.unimelb.edu.au,https://arts.unimelb.edu.au/language-testing-research-centre/welcome/past-news/guides-to-english-language-policy-making-in-higher-education,Guides to English Language Policy Making in Higher Education
sandbox,arts.unimelb.edu.au,https://arts.unimelb.edu.au/language-testing-research-centre/welcome/past-news/news-archive/ltrc-symposium,LTRC Symposium Thursday 19 November 2020
sandbox,arts.unimelb.edu.au,https://arts.unimelb.edu.au/language-testing-research-centre/welcome/past-news/news-archive/celebrating-30-years-ltrc-video,Celebrating 30 years - LTRC video
sandbox,arts.unimelb.edu.au,"https://arts.unimelb.edu.au/language-testing-research-centre/welcome/past-news/inquiry,-insights-and-inspiration-an-interview-with-ute-knoch","Inquiry, Insights & Inspiration: An Interview with Ute Knoch"
sandbox,arts.unimelb.edu.au,"https://arts.unimelb.edu.au/language-testing-research-centre/welcome/past-news/ute-knoch-talks-about-language-assessment-research,-reliability-and-fairness","Ute Knoch talks about language assessment research, reliability and fairness."
sandbox,arts.unimelb.edu.au,https://arts.unimelb.edu.au/language-testing-research-centre/welcome/past-news/interview-with-cathie-elder,"Spotlight on Cathie Elder, ILTA Distinguished Achievement Award 2020 winner"
sandbox,arts.unimelb.edu.au,https://arts.unimelb.edu.au/language-testing-research-centre/welcome/past-news/ilta-advocacypublic-engagement-award,LTRC staff win ILTA Advocacy/Public Engagement Award 2020
sandbox,arts.unimelb.edu.au,https://arts.unimelb.edu.au/language-testing-research-centre/welcome/past-news/dr-cathie-elder-wins-distinguished-award,Associate Professor Cathie Elder wins distinguished award
sandbox,arts.unimelb.edu.au,https://arts.unimelb.edu.au/language-testing-research-centre/welcome/past-news/iltasage-best-book-award-2020,ILTA/SAGE Best Book Award Winner 2020
sandbox,arts.unimelb.edu.au,https://arts.unimelb.edu.au/language-testing-research-centre/welcome/past-news/altaanz-conference-2020,ALTAANZ Conference 2020 POSTPONED
sandbox,arts.unimelb.edu.au,https://arts.unimelb.edu.au/language-testing-research-centre/welcome/past-news/new-release-book,New book published
sandbox,arts.unimelb.edu.au,https://arts.unimelb.edu.au/language-testing-research-centre/welcome/past-news/language-testing-research-centre-awarded-two-new-pearson-education-grants,Language Testing Research Centre awarded two new Pearson Education Grants
sandbox,arts.unimelb.edu.au,"https://arts.unimelb.edu.au/language-testing-research-centre/welcome/past-news/book-launch-fairness,-justice,-and-language-assessment",Book launch
sandbox,arts.unimelb.edu.au,https://arts.unimelb.edu.au/language-testing-research-centre/welcome/past-news,Past news — Language Testing Research Centre | Faculty of Arts
