cluster,jaccard,shared_key,domain_a,domain_b,url_a,url_b,words_a,words_b,shell_a,shell_b
4.1_HDR_education_vs_mdhs,1.0,reviewscandidature-variations/pre-confirmation,education-unimelb-edu-au,mdhs-unimelb-edu-au,https://education.unimelb.edu.au/study/graduate-research/current-students/reviewscandidature-variations/pre-confirmation,https://mdhs.unimelb.edu.au/research/research-training/current-students/reviewscandidature-variations/pre-confirmation,1988,1988,0,0
4.1_HDR_education_vs_mdhs,1.0,reviewscandidature-variations/confirmation,education-unimelb-edu-au,mdhs-unimelb-edu-au,https://education.unimelb.edu.au/study/graduate-research/current-students/reviewscandidature-variations/confirmation,https://mdhs.unimelb.edu.au/research/research-training/current-students/reviewscandidature-variations/confirmation,3061,3061,0,0
4.1_HDR_education_vs_mdhs,1.0,reviewscandidature-variations/progress-review,education-unimelb-edu-au,mdhs-unimelb-edu-au,https://education.unimelb.edu.au/study/graduate-research/current-students/reviewscandidature-variations/progress-review,https://mdhs.unimelb.edu.au/research/research-training/current-students/reviewscandidature-variations/progress-review,2238,2238,0,0
4.1_HDR_education_vs_mdhs,1.0,reviewscandidature-variations/at-risk,education-unimelb-edu-au,mdhs-unimelb-edu-au,https://education.unimelb.edu.au/study/graduate-research/current-students/reviewscandidature-variations/at-risk,https://mdhs.unimelb.edu.au/research/research-training/current-students/reviewscandidature-variations/at-risk,1894,1894,0,0
4.1_HDR_education_vs_mdhs,1.0,reviewscandidature-variations/unsatisfactory-progress,education-unimelb-edu-au,mdhs-unimelb-edu-au,https://education.unimelb.edu.au/study/graduate-research/current-students/reviewscandidature-variations/unsatisfactory-progress,https://mdhs.unimelb.edu.au/research/research-training/current-students/reviewscandidature-variations/unsatisfactory-progress,3154,3154,0,0
4.1_HDR_education_vs_mdhs,1.0,reviewscandidature-variations/making-changes,education-unimelb-edu-au,mdhs-unimelb-edu-au,https://education.unimelb.edu.au/study/graduate-research/current-students/reviewscandidature-variations/making-changes,https://mdhs.unimelb.edu.au/research/research-training/current-students/reviewscandidature-variations/making-changes,809,809,0,0
4.1_HDR_education_vs_mdhs,1.0,student-support-services/housing-support,education-unimelb-edu-au,mdhs-unimelb-edu-au,https://education.unimelb.edu.au/study/graduate-research/current-students/student-support-services/housing-support,https://mdhs.unimelb.edu.au/research/research-training/current-students/student-support-services/housing-support,1341,1341,0,0
4.1_HDR_education_vs_mdhs,1.0,student-support-services/safer-community-program,education-unimelb-edu-au,mdhs-unimelb-edu-au,https://education.unimelb.edu.au/study/graduate-research/current-students/student-support-services/safer-community-program,https://mdhs.unimelb.edu.au/research/research-training/current-students/student-support-services/safer-community-program,693,693,0,0
4.1_HDR_education_vs_mdhs,1.0,student-support-services/student-services-directory,education-unimelb-edu-au,mdhs-unimelb-edu-au,https://education.unimelb.edu.au/study/graduate-research/current-students/student-support-services/student-services-directory,https://mdhs.unimelb.edu.au/research/research-training/current-students/student-support-services/student-services-directory,767,767,0,0
4.1_HDR_education_vs_mdhs,1.0,student-support-services/counselling,education-unimelb-edu-au,mdhs-unimelb-edu-au,https://education.unimelb.edu.au/study/graduate-research/current-students/student-support-services/counselling,https://mdhs.unimelb.edu.au/research/research-training/current-students/student-support-services/counselling,652,652,0,0
4.1_HDR_education_vs_mdhs,1.0,student-support-services/library,education-unimelb-edu-au,mdhs-unimelb-edu-au,https://education.unimelb.edu.au/study/graduate-research/current-students/student-support-services/library,https://mdhs.unimelb.edu.au/research/research-training/current-students/student-support-services/library,2073,2073,0,0
4.1_HDR_education_vs_mdhs,1.0,thesisexamination/writing-my-thesis,education-unimelb-edu-au,mdhs-unimelb-edu-au,https://education.unimelb.edu.au/study/graduate-research/current-students/thesisexamination/writing-my-thesis,https://mdhs.unimelb.edu.au/research/research-training/current-students/thesisexamination/writing-my-thesis,2867,2867,0,0
4.1_HDR_education_vs_mdhs,1.0,thesisexamination/thesis-with-publication,education-unimelb-edu-au,mdhs-unimelb-edu-au,https://education.unimelb.edu.au/study/graduate-research/current-students/thesisexamination/thesis-with-publication,https://mdhs.unimelb.edu.au/research/research-training/current-students/thesisexamination/thesis-with-publication,4202,4202,0,0
4.1_HDR_education_vs_mdhs,1.0,thesisexamination/submitting-my-thesis,education-unimelb-edu-au,mdhs-unimelb-edu-au,https://education.unimelb.edu.au/study/graduate-research/current-students/thesisexamination/submitting-my-thesis,https://mdhs.unimelb.edu.au/research/research-training/current-students/thesisexamination/submitting-my-thesis,2179,2179,0,0
4.1_HDR_education_vs_mdhs,1.0,thesisexamination/my-thesis-in-the-library,education-unimelb-edu-au,mdhs-unimelb-edu-au,https://education.unimelb.edu.au/study/graduate-research/current-students/thesisexamination/my-thesis-in-the-library,https://mdhs.unimelb.edu.au/research/research-training/current-students/thesisexamination/my-thesis-in-the-library,3573,3573,0,0
4.1_HDR_education_vs_mdhs,1.0,thesisexamination/thesis-prizes,education-unimelb-edu-au,mdhs-unimelb-edu-au,https://education.unimelb.edu.au/study/graduate-research/current-students/thesisexamination/thesis-prizes,https://mdhs.unimelb.edu.au/research/research-training/current-students/thesisexamination/thesis-prizes,869,869,0,0
