domain,pages,median_kb,p90_kb,max_kb
study.unimelb.edu.au,2005,304,416,1132
finearts-music.unimelb.edu.au,1257,217,248,2292
scholarships.unimelb.edu.au,2151,188,190,199
students.unimelb.edu.au,833,181,217,1102
www.unimelb.edu.au,137,176,195,277
science.unimelb.edu.au,147,171,191,278
fbe.unimelb.edu.au,1980,166,188,1415
education.unimelb.edu.au,850,165,184,829
medicine.unimelb.edu.au,2194,164,184,2516
biomedicalsciences.unimelb.edu.au,1583,164,179,734
msd.unimelb.edu.au,1560,163,182,1779
research.unimelb.edu.au,657,162,175,482
law.unimelb.edu.au,2034,161,178,5056
eng.unimelb.edu.au,1759,160,174,452
dental.unimelb.edu.au,204,160,176,303
arts.unimelb.edu.au,2032,160,186,1677
mbs.unimelb.edu.au,83,159,194,228
mdhs.unimelb.edu.au,3514,149,160,4730
services.unimelb.edu.au,176,143,160,246
handbook.unimelb.edu.au,2120,0,77,180
