service,pages,domains,url_trees,central_hub_pages,top_domain,top_domain_pages,faculty_pages,prospective_pages,frag_score
"wellbeing, health & safety",2588,19,115,170,medicine.unimelb.edu.au,1073,1766,428,2185
scholarships & awards,2798,17,102,37,scholarships.unimelb.edu.au,2124,621,14,1734
"equity, disability & Indigenous",610,17,89,20,arts.unimelb.edu.au,150,474,71,1513
"IT, systems & tools",462,17,82,1,eng.unimelb.edu.au,193,375,68,1394
careers & employability,1051,18,77,42,study.unimelb.edu.au,440,517,440,1386
research candidature (HDR),850,18,77,15,msd.unimelb.edu.au,176,795,25,1386
"contacts, Stop 1 & help",194,17,61,68,students.unimelb.edu.au,68,112,4,1037
"exams, results & progress",472,16,62,93,handbook.unimelb.edu.au,145,163,68,992
student life & community,424,17,58,65,study.unimelb.edu.au,132,215,132,986
graduation & transition,803,16,53,36,www.unimelb.edu.au,137,616,12,848
placements & WIL,101,13,29,4,fbe.unimelb.edu.au,25,94,0,377
enrolment & subjects,3710,13,28,86,handbook.unimelb.edu.au,2560,1053,11,364
international & visa,132,13,27,74,students.unimelb.edu.au,74,47,8,351
forms & transactions,61,12,27,5,law.unimelb.edu.au,23,55,0,324
library & resources,5426,9,26,34,mdhs.unimelb.edu.au,5226,5390,0,234
"fees, finance & census",406,7,18,29,study.unimelb.edu.au,363,13,363,126
academic skills & language,159,8,10,134,students.unimelb.edu.au,134,25,0,80
timetable & class rego,40,6,10,28,students.unimelb.edu.au,28,12,0,60
special consideration,32,6,10,15,students.unimelb.edu.au,15,12,5,60
