norm_title,pages,domains,sample_urls
search,2921,5,"https://biomedicalsciences.unimelb.edu.au/sbs-research-groups/anatomy-and-physiology-research/neuroscience/development-of-the-enteric-nervous-system/graduate-research-opportunities ; https://biomedicalsciences.unimelb.edu.au/sbs-research-groups/microbiology-and-immunology-research-groups/barrow-laboratory-tissue-immunosurveillance-strategies/student-projects ; https://biomedicalsciences.unimelb.edu.au/sbs-research-groups/microbiology-and-immunology-research-groups/innate-immunity-anti-viral-immunity/student-projects ; https://biomedicalsciences.unimelb.edu.au/sbs-research-groups/microbiology-and-immunology-research-groups/molecular-epidemiology,-genomics-and-pathogenesis-of-antimicrobial-resistant-bacteria/student-projects ; https://biomedicalsciences.unimelb.edu.au/sbs-research-groups/microbiology-and-immunology-research-groups/hiv-vaccines-immune-responses-to-hiv-1-immunotherapy/student-projects"
find a scholarship,2042,5,https://biomedicalsciences.unimelb.edu.au/study/scholarships ; https://dental.unimelb.edu.au/study/scholarships ; https://mdhs.unimelb.edu.au/research/research-training/current-students/scholarships/scholarships ; https://medicine.unimelb.edu.au/study/scholarships ; https://scholarships.unimelb.edu.au/
page not found,402,15,https://arts.unimelb.edu.au/?a= ; https://arts.unimelb.edu.au/school-of-languages-and-linguistics/our-research/research-centres-hubs-and-units/*%09https:/pursuit.unimelb.edu.au/articles/a-life-sentence-for-a-crime-he-may-not-have-committed-and-there-could-be-more-just-like-him ; https://arts.unimelb.edu.au/news/2020-ernest-scott-prize-shortlist-announced ; https://arts.unimelb.edu.au/news/past-news/?external-uuid=32746f85-5868-4754-b906-e4861a28314f ; https://arts.unimelb.edu.au/julia-gillard
newsroom,122,1,https://fbe.unimelb.edu.au/newsroom ; https://fbe.unimelb.edu.au/newsroom?queries_tags_query=industry ; https://fbe.unimelb.edu.au/newsroom?queries_tags_query=economics ; https://fbe.unimelb.edu.au/newsroom?queries_tags_query=research ; https://fbe.unimelb.edu.au/newsroom?queries_tags_query=alumni
topics,117,1,https://finearts-music.unimelb.edu.au/about-us/news/topics?queries_category_query=98771 ; https://finearts-music.unimelb.edu.au/about-us/news/topics?queries_category_query=98764 ; https://finearts-music.unimelb.edu.au/about-us/news/topics?queries_category_query=98777 ; https://finearts-music.unimelb.edu.au/about-us/news/topics?queries_category_query=98770 ; https://finearts-music.unimelb.edu.au/about-us/news/topics?queries_category_query=98747
404  page not found,90,7,https://arts.unimelb.edu.au/engage/community-education ; https://arts.unimelb.edu.au/school-of-social-and-political-sciences/our-research/research-projects/migration-and-mobility-research-network-mmrn ; https://arts.unimelb.edu.au/study/applicants-old/graduate-research-old1/frequently-asked-questions ; https://arts.unimelb.edu.au/news/past-news/billy-griffiths-awarded-2019-ernest-scott-prize ; https://arts.unimelb.edu.au/engage/engage-assets/archive/community-education
find a course,86,1,https://study.unimelb.edu.au/find/?collection=find-a-course&profile=_default&query=%21showall&num_ranks=12&start_rank=1&f.Tabs%7CtypeCourse=Courses ; https://study.unimelb.edu.au/find/?collection=find-a-course&profile=_default&query=%21showall&num_ranks=12&start_rank=1&f.Tabs%7CtypeStudyArea=Study+areas ; https://study.unimelb.edu.au/find/?collection=find-a-course&profile=_default&query=%21showall&num_ranks=12&start_rank=1&f.Tabs%7CtypeMaMiSp=Majors%2C+minors+%26+specialisations ; https://study.unimelb.edu.au/find/ ; https://study.unimelb.edu.au/find?in_c=hcta
university of melbourne,84,13,https://arts.unimelb.edu.au/study/graduate-research/_admin/?a=5505134 ; https://arts.unimelb.edu.au/study/graduate-research/_admin/?a=3422829 ; https://arts.unimelb.edu.au/scholarships/prizes-and-scholarships/ernest-scott-prize ; https://arts.unimelb.edu.au/research-unit-for-indigenous-language/assets/development/research-unit-for-indigenous-language/_nocache ; https://arts.unimelb.edu.au/scholarships/external-prizes/wesley-michel-wright-prize/more-past-winners
contact us,63,15,https://arts.unimelb.edu.au/contact-us ; https://arts.unimelb.edu.au/about/contact-us ; https://arts.unimelb.edu.au/research-unit-for-multilingualism-and-cross-cultural-communication/welcome/contact ; https://arts.unimelb.edu.au/language-testing-research-centre/welcome/contact-us ; https://arts.unimelb.edu.au/human-rights-and-animal-ethics-research-network/welcome/contact-us
research,54,11,https://arts.unimelb.edu.au/centre-for-contemporary-chinese-studies/initiatives/global-china-knowledge-network/research ; https://arts.unimelb.edu.au/school-of-culture-and-communication/our-research/research-projects/korean-studies-in-melbourne ; https://arts.unimelb.edu.au/centre-for-contemporary-chinese-studies/research ; https://arts.unimelb.edu.au/school-of-social-and-political-sciences/our-research/gender-equity-initiative/research ; https://arts.unimelb.edu.au/national-centre-for-contemporary-islamic-studies/research
mallee resources,53,1,https://eng.unimelb.edu.au/mric/mallee-resources ; https://eng.unimelb.edu.au/mric/resources/find ; https://eng.unimelb.edu.au/mric/resources/find?queries_all_query=&queries_category_query%5B0%5D=energy&search_page_3527117_submit_button=Search ; https://eng.unimelb.edu.au/mric/resources/find?queries_all_query=&queries_category_query%5B1%5D=environment&search_page_3527117_submit_button=Search ; https://eng.unimelb.edu.au/mric/resources/find?queries_all_query=&queries_category_query%5B2%5D=horticulture&search_page_3527117_submit_button=Search
news,46,8,https://arts.unimelb.edu.au/news ; https://arts.unimelb.edu.au/news/ ; https://education.unimelb.edu.au/global-childhood-research-hub/news ; https://fbe.unimelb.edu.au/accounting/news ; https://law.unimelb.edu.au/news
newsletter,44,2,https://arts.unimelb.edu.au/research-unit-for-indigenous-language/home/newsletter ; https://arts.unimelb.edu.au/research-unit-for-indigenous-language/about/newsletter ; https://medicine.unimelb.edu.au/school-structure/general-practice-and-primary-care/newsletter/gp-newsletter/newsletter-issue-1-2025 ; https://medicine.unimelb.edu.au/school-structure/general-practice-and-primary-care/newsletter/gp-newsletter/newsletter-issue-2-2023 ; https://medicine.unimelb.edu.au/school-structure/general-practice-and-primary-care/newsletter/gp-newsletter/newsletter-issue-2-2026
melbourne accounting research seminar,41,1,https://fbe.unimelb.edu.au/accounting/events/2026/melbourne-accounting-research-seminar-karim-jamal ; https://fbe.unimelb.edu.au/accounting/events/2023/melbourne-accounting-research-seminar-wim-van-der-stede ; https://fbe.unimelb.edu.au/accounting/events/2023/melbourne-accounting-research-seminar-donghui-wu ; https://fbe.unimelb.edu.au/accounting/events/2023/melbourne-accounting-research-seminar-peeyush-taori ; https://fbe.unimelb.edu.au/accounting/events/2023/melbourne-accounting-research-seminar-ivan-marinovic
