domain,url,title,byteLength,linkCount
arts.unimelb.edu.au,https://arts.unimelb.edu.au/students/graduate-coursework/manage-your-course,,39,0
finearts-music.unimelb.edu.au,https://finearts-music.unimelb.edu.au/events/fsmg/?external-uuid=5cba7d4e-67d3-461f-be54-05f5e4a93bdd,,39,0
medicine.unimelb.edu.au,"https://medicine.unimelb.edu.au/about/mobile-learning-unit/our-courses/faculty-of-medicine,-dentistry-and-health-sciences/graduate-diploma-in-clinical-ultrasound",,39,0
medicine.unimelb.edu.au,"https://medicine.unimelb.edu.au/about/mobile-learning-unit/our-courses/faculty-of-medicine,-dentistry-and-health-sciences/how-to-do-online-learning",,39,0
medicine.unimelb.edu.au,https://medicine.unimelb.edu.au/research-groups/medicine-research/austin-hospital/?external-uuid=fc52d796-ac3c-4b83-a01b-8b02ad83fb5d,,39,0
medicine.unimelb.edu.au,https://medicine.unimelb.edu.au/research/research-training/%3Cdiv%20style=%22padding:56.25%%200%200%200;position:relative;%22%3E%3Ciframe%20src=%22https://player.vimeo.com/video/848195341?badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479%22%20frameborder=%220%22%20allow=%22autoplay;%20fullscreen;%20picture-in-picture%22%20allowfullscreen%20style=%22position:absolute;top:0;left:0;width:100%;height:100%;%22%20title=%222023%20No-Bell%20Prize%20-%20Alice%20Ruiye%20Chen%20-%20Runner%20Up%22%3E%3C/iframe%3E%3C/div%3E%3Cscript%20src=%22https://player.vimeo.com/api/player.js%22%3E%3C/script%3E,400 Bad Request,147,0
arts.unimelb.edu.au,https://arts.unimelb.edu.au/__data/assets/pdf_file/0005/5479970/Reading-Guide-Memoirs-of-a-Dutiful-Daughter.pdf/_recache,,174,0
arts.unimelb.edu.au,https://arts.unimelb.edu.au/__data/assets/pdf_file/0010/5449285/Reading-Guide-My-Brother-Jack.pdf/_recache,,174,0
education.unimelb.edu.au,https://education.unimelb.edu.au/study/graduate-research/current-students/information-for-current-graduate-researchers/funding,,174,0
education.unimelb.edu.au,https://education.unimelb.edu.au/study/graduate-research/current-students/information-for-current-graduate-researchers/foe-gr-funding-application-form,,174,0
education.unimelb.edu.au,https://education.unimelb.edu.au/study/graduate-research/current-students/scholarships/mgse-funding-opportunities,,174,0
fbe.unimelb.edu.au,https://fbe.unimelb.edu.au/__data/assets/pdf_file/0004/4591327/Australian-Accounting-Hall-of-Fame-photo-album.pdf/_recache,,174,0
fbe.unimelb.edu.au,https://fbe.unimelb.edu.au/__data/assets/pdf_file/0005/4591337/AAHOF-2023-booklet-final.pdf/_recache,,174,0
mdhs.unimelb.edu.au,https://mdhs.unimelb.edu.au/research/research-training/supervisors/advisory-committee-chair/facultys-best-practice-guide-for-advisory-committee-chairs,,174,0
mdhs.unimelb.edu.au,https://mdhs.unimelb.edu.au/research/research-training/supervisors/advisory-committee-chair/facultys-advisory-committee-chair-fact-sheet,,174,0
mdhs.unimelb.edu.au,https://mdhs.unimelb.edu.au/diversity-and-inclusion/engage/resources/indigenous-resources/indigenous-development-publication,,174,0
medicine.unimelb.edu.au,https://medicine.unimelb.edu.au/about/mobile-learning-unit/partnerships/inclusion-principles,,174,0
msd.unimelb.edu.au,https://msd.unimelb.edu.au/belt/pd-and-workshops/a/belt/a/diversity-and-inclusion-in-teaching-and-learning/?a=4938485,,174,0
research.unimelb.edu.au,https://research.unimelb.edu.au/commercialisation/business-and-investors/solutions-available-for-licensing/medtech-pipeline,,174,0
research.unimelb.edu.au,https://research.unimelb.edu.au/commercialisation/business-and-investors/solutions-available-for-licensing/stem-pipeline,,174,0
