topic,unit_slug,faculty,url,title,wordCount,classification,page_type
<untagged>,abp,ABP,https://msd.unimelb.edu.au/current-students/student-experience/student-forum,Student Forum | Current Students | Melbourne School of Design,461,mixed,content
<untagged>,abp,ABP,https://msd.unimelb.edu.au/current-students/student-experience/student-participation-on-faculty-committees-and-advisory-boards,Student Representation on Faculty Committees & Advisory Boards,735,mixed,content
<untagged>,arts,Arts,https://arts.unimelb.edu.au/students/arts-student-advisory-council,Arts Student Advisory Council,1489,unique,content
<untagged>,arts,Arts,https://arts.unimelb.edu.au/students/experiential-learning/the-big-idea,The Social Impact Project,276,unique,content
<untagged>,arts,Arts,https://arts.unimelb.edu.au/students/undergraduate/enrich-your-bachelor-of-arts/academic-mentoring/professor-tim-parkin,Professor Tim Parkin,450,unique,content
<untagged>,arts,Arts,https://arts.unimelb.edu.au/students/arts-student-advisory-council,Arts Student Advisory Council,1489,unique,content
<untagged>,biomedical,MDHS,https://biomedicalsciences.unimelb.edu.au/study/current-student-information/plan-your-bachelor-of-biomedicine/biomedicine-graduate-pathways,Biomedicine Graduate Pathways,546,unique,content
<untagged>,fbe,FBE,https://fbe.unimelb.edu.au/students,Students,367,unique,content
<untagged>,fbe,FBE,https://fbe.unimelb.edu.au/students/bcom,BCom,360,unique,content
<untagged>,fbe,FBE,https://fbe.unimelb.edu.au/students/services,FBE student services,328,unique,content
<untagged>,fbe,FBE,https://fbe.unimelb.edu.au/students/bcom/honours,Bachelor of Commerce (Honours),314,unique,content
<untagged>,fbe,FBE,https://fbe.unimelb.edu.au/students/services/virtual-lab,FBE virtual lab,320,unique,content
<untagged>,fbe,FBE,https://fbe.unimelb.edu.au/students/bcom/current-students/academic-success,Academic Success,352,unique,content
<untagged>,fbe,FBE,https://fbe.unimelb.edu.au/students/bcom/current-students/compulsory-quantitative-requirement,Compulsory Quantitative Requirement,392,unique,content
<untagged>,fbe,FBE,https://fbe.unimelb.edu.au/students/bcom/current-students/deans-honours-list-2020,Dean's Honours List 2024,627,unique,content
<untagged>,fbe,FBE,https://fbe.unimelb.edu.au/students/bcom/current-students/intensives,Summer & Winter Intensives,458,unique,content
<untagged>,fbe,FBE,https://fbe.unimelb.edu.au/students/bcom/current-students/services,FBE student services,331,unique,content
<untagged>,fbe,FBE,https://fbe.unimelb.edu.au/students/bcom/current-students/studies-in-engineering,Studies in Engineering,614,unique,content
<untagged>,fbe,FBE,https://fbe.unimelb.edu.au/students/bcom/first-semester-guide,BCom First Semester Guide,2086,mixed,content
<untagged>,fbe,FBE,https://fbe.unimelb.edu.au/students/bcom/honours/convenors,Honours Convenors,301,unique,content
<untagged>,fbe,FBE,https://fbe.unimelb.edu.au/students/bcom/honours/what-is-honours,What is Honours?,492,unique,content
<untagged>,fbe,FBE,https://fbe.unimelb.edu.au/students/bcom/current-students/services/virtual-lab,FBE virtual lab,323,unique,content
<untagged>,feit,FEIT,https://eng.unimelb.edu.au/students,Current students,788,unique,content
<untagged>,feit,FEIT,https://eng.unimelb.edu.au/students/coursework,Coursework students | Faculty of Engineering and Information Technology,774,unique,content
<untagged>,feit,FEIT,https://eng.unimelb.edu.au/students/coursework/study-resources/building-access-and-id-cards,Building access and ID cards – Coursework Students – Current Students - Faculty of Engineering and Information Technology,1000,unique,content
<untagged>,feit,FEIT,https://eng.unimelb.edu.au/students/coursework/study-resources,Study Resources,537,unique,content
<untagged>,feit,FEIT,https://eng.unimelb.edu.au/students/research/life-at-feit,Life at FEIT,368,unique,content
<untagged>,feit,FEIT,https://eng.unimelb.edu.au/students/coursework/student-experience,Student Experience,698,unique,content
<untagged>,feit,FEIT,https://eng.unimelb.edu.au/students/coursework/student-experience/academic-communication-skills-series,Academic Communication Skills Series,1092,unique,content
<untagged>,feit,FEIT,https://eng.unimelb.edu.au/students/coursework/student-experience/professional-skills-series/technical-skills-series,Mentoring & Volunteering,375,unique,content
<untagged>,feit,FEIT,https://eng.unimelb.edu.au/students/coursework/student-experience/professional-skills,Professional Skills Series,594,unique,content
<untagged>,feit,FEIT,https://eng.unimelb.edu.au/students/coursework/student-experience/industry-series,Industry Series,519,unique,content
<untagged>,feit,FEIT,https://eng.unimelb.edu.au/students/coursework/student-experience/technical-skills,Technical Skills Series,2125,unique,content
<untagged>,feit,FEIT,https://eng.unimelb.edu.au/students/coursework/study-resources/newsletter,ENG & IT Express Newsletter,644,unique,content
<untagged>,feit,FEIT,https://eng.unimelb.edu.au/students/research/study-resources/progress-review,Reviewing your progress,1859,unique,content
<untagged>,feit,FEIT,https://eng.unimelb.edu.au/students/research/study-resources/course-requirements,Course requirements,823,unique,content
<untagged>,feit,FEIT,https://eng.unimelb.edu.au/students/research/study-resources/services-support-activities,"Services, support and activities",567,unique,content
<untagged>,feit,FEIT,https://eng.unimelb.edu.au/students/research/life-at-feit/award-winners,FEIT award winners 2023,506,unique,content
<untagged>,feit,FEIT,https://eng.unimelb.edu.au/students/coursework/student-experience/industry-series/feit-hackathon-festival,FEIT Hackathon Festival,2177,unique,content
<untagged>,feit,FEIT,https://eng.unimelb.edu.au/students/coursework/student-experience/orientation/Peter%20Hall%20Building,~ Page not found,441,unique,content
<untagged>,feit,FEIT,https://eng.unimelb.edu.au/students/coursework/student-experience/orientation/Melbourne%20Connect%20Building,~ Page not found,441,unique,content
<untagged>,feit,FEIT,https://eng.unimelb.edu.au/students/coursework/student-experience/industry-series/feit-hackathon-festival/2025-hackathon-festival-image-gallery,2025 Hackathon Festival Image Gallery,296,unique,content
<untagged>,ffam,FFAM,https://finearts-music.unimelb.edu.au/current-students/ensembles/conservatorium-symphonic-ensembles,Symphonic Ensembles application and registration,912,unique,content
<untagged>,ffam,FFAM,https://finearts-music.unimelb.edu.au/current-students/ensembles/percussion-ensemble,Percussion Ensemble,352,unique,content
<untagged>,law,Law,https://law.unimelb.edu.au/students/masters/studies/accept-your-offer-and-get-started,Accept Your Offer & Get Started | Masters | Law at Melbourne,580,unique,content
<untagged>,mbs,FBE,https://mbs.unimelb.edu.au/students,Students,386,unique,content
<untagged>,mdhs,MDHS,https://mdhs.unimelb.edu.au/study/current-students/student-fitness-to-practice/links-and-resources,Links and Resources,237,unique,content
<untagged>,science,Science,https://science.unimelb.edu.au/students,Current Students,760,unique,content
<untagged>,science,Science,https://science.unimelb.edu.au/students/agriculture-discovery-week,Agriculture Discovery Week,2235,unique,content
<untagged>,science,Science,https://science.unimelb.edu.au/students/course-guide-bachelor-of-agriculture,Course guide: Bachelor of Agriculture,1182,mixed,content
<untagged>,science,Science,https://science.unimelb.edu.au/students/course-guide-bachelor-of-agriculture/dookie-semester,Dookie Semester,852,unique,content
<untagged>,science,Science,https://science.unimelb.edu.au/students/course-guide-bachelor-of-science,Course guide: Bachelor of Science,1304,mixed,content
<untagged>,science,Science,https://science.unimelb.edu.au/students/course-guide-bachelor-of-science/bachelor-of-science-majors-series,Bachelor of Science Majors Information Series,439,unique,content
<untagged>,science,Science,https://science.unimelb.edu.au/students/course-guide-diploma-in-general-studies,Course guide: Diploma in General Studies,941,mixed,content
<untagged>,science,Science,https://science.unimelb.edu.au/students/course-guide-graduate-coursework-degrees,Course guide: Graduate coursework degrees,973,unique,content
<untagged>,science,Science,https://science.unimelb.edu.au/students/course-guide-graduate-coursework-degrees/agriculture-food-science-research-projects/differences-in-major-and-minor-research-projects,Differences in Major and Minor Research Projects,707,unique,content
<untagged>,science,Science,https://science.unimelb.edu.au/students/course-guide-graduate-coursework-degrees/agriculture-food-science-research-projects/masters-research-project-topic-areas,Masters Research Project Topic Areas,1292,unique,content
<untagged>,science,Science,https://science.unimelb.edu.au/students/course-guide-graduate-coursework-degrees/master-of-science-research-projects,Master of Science research projects,2102,unique,content
<untagged>,science,Science,https://science.unimelb.edu.au/students/enrich-your-studies,Enrich your studies,515,unique,content
<untagged>,science,Science,https://science.unimelb.edu.au/students/q-fever-vaccinations,Q fever vaccinations,706,unique,content
IT-systems,abp,ABP,https://msd.unimelb.edu.au/current-students/student-experience/it-support,IT Support | Current Students | Melbourne School of Design,3247,mixed,content
IT-systems,education,Education,https://education.unimelb.edu.au/study/current-students/employability-in-education/master-of-teaching/faqs,FAQs,5447,unique,content
IT-systems,education,Education,https://education.unimelb.edu.au/study/current-students/resources-and-it,Student Services and IT,370,unique,content
IT-systems,fbe,FBE,https://fbe.unimelb.edu.au/students/services/computing-spaces,Student Computing Spaces,550,unique,content
IT-systems,fbe,FBE,https://fbe.unimelb.edu.au/students/services/rules,FBE computing facilities rules,490,unique,content
IT-systems,fbe,FBE,https://fbe.unimelb.edu.au/students/bcom/current-students/services/computing-spaces,Student Computing Spaces,553,unique,content
IT-systems,fbe,FBE,https://fbe.unimelb.edu.au/students/bcom/current-students/services/rules,FBE computing facilities rules,493,unique,content
IT-systems,feit,FEIT,https://eng.unimelb.edu.au/students/coursework/student-experience/orientation/before-orientation/technology-requirements-and-available-resources/student-it-contact,Student IT Contact,502,unique,content
IT-systems,feit,FEIT,https://eng.unimelb.edu.au/students/coursework/student-experience/orientation/before-orientation/technology-requirements-and-available-resources/chat-with-student-it,Chat with Student IT,373,unique,content
IT-systems,feit,FEIT,https://eng.unimelb.edu.au/students/coursework/student-experience/orientation/before-orientation/technology-requirements-and-available-resources/student-it,Student IT,715,unique,content
IT-systems,feit,FEIT,https://eng.unimelb.edu.au/students/scholarships-prizes-and-awards/coursework-students/deans-honours-award/school-of-computing-and-information-systems-1,2022 Dean’s Honours List,849,unique,content
IT-systems,law,Law,https://law.unimelb.edu.au/students/jd,JD Students,937,mixed,content
IT-systems,law,Law,https://law.unimelb.edu.au/students/legal-academic-skills/lms-community,Legal Academic Skills LMS Community,196,unique,content
IT-systems,mbs,FBE,https://mbs.unimelb.edu.au/students/course-planning/services/computing-spaces,Open Access Student Computing Spaces,641,unique,content
academic-skills,abp,ABP,https://msd.unimelb.edu.au/current-students/student-experience/peer-mentoring-program,MSD Peer Mentoring Program,549,mixed,content
academic-skills,abp,ABP,https://msd.unimelb.edu.au/current-students/student-experience,Student Experience | Melbourne School of Design,663,mixed,content
academic-skills,arts,Arts,https://arts.unimelb.edu.au/students/arts-west-disability-access,Arts West building disability access,351,unique,content
academic-skills,arts,Arts,https://arts.unimelb.edu.au/students/undergraduate,Undergraduate students,676,mixed,content
academic-skills,arts,Arts,https://arts.unimelb.edu.au/students/undergraduate/enrich-your-bachelor-of-arts/academic-mentoring,Academic Mentoring,346,unique,content
academic-skills,arts,Arts,https://arts.unimelb.edu.au/students/undergraduate/enrich-your-bachelor-of-arts/campus-experience,Campus experience,316,unique,content
academic-skills,arts,Arts,https://arts.unimelb.edu.au/students/undergraduate/enrich-your-bachelor-of-arts/melbourne-peer-mentor-program,Melbourne Peer Mentor Program,720,mixed,content
academic-skills,arts,Arts,https://arts.unimelb.edu.au/students/undergraduate/enrich-your-bachelor-of-arts/peer-assisted-study-sessions,Peer Assisted Study Sessions,453,unique,content
academic-skills,arts,Arts,https://arts.unimelb.edu.au/students/undergraduate/resources-and-support/academic-resources,Academic resources,393,mixed,content
