unit_slug,faculty,level,corpus,page_type,classification,wordCount,depth,hubLinks,url,title,topicTags,topicTags_old,is_binary
abp,ABP,faculty,current-students,content,mixed,1239,0,34,https://msd.unimelb.edu.au/current-students,Current Students | Melbourne School of Design,subjects-timetable|enrolment|course-planning,course-planning|subjects-timetable|enrolment|special-consideration,0
abp,ABP,faculty,current-students,content,mixed,343,1,21,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans,Sample Course Plans,course-planning|enrolment,course-planning|enrolment|graduation|contacts-support,0
abp,ABP,faculty,current-students,content,mixed,417,1,25,https://msd.unimelb.edu.au/current-students/enrolment/list-of-forms,List of Forms | Current Students | Melbourne School of Design,enrolment|forms-admin|course-planning,enrolment|forms-admin|course-planning|IT-systems,0
abp,ABP,faculty,current-students,content,mixed,373,1,21,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios,MSD Studios,subjects-timetable,subjects-timetable|research-candidature,0
abp,ABP,faculty,current-students,content,mixed,1216,1,23,https://msd.unimelb.edu.au/current-students/subject-information/quota-subjects,Quota Subjects | Melbourne School of Design,subjects-timetable|clubs-events,subjects-timetable|enrolment|contacts-support|international,0
abp,ABP,faculty,current-students,content,mixed,831,1,22,https://msd.unimelb.edu.au/current-students/subject-information/travelling-studios,Travelling Studios | Melbourne School of Design,subjects-timetable|placements-WIL|international|fees-finance,subjects-timetable|international|fees-finance,0
abp,ABP,faculty,current-students,content,mixed,1271,1,23,https://msd.unimelb.edu.au/current-students/subject-information/internships-vocational-placements,Internships and Vocational Placements,placements-WIL|subjects-timetable|careers-employability,placements-WIL|subjects-timetable|careers-employability,0
abp,ABP,faculty,current-students,content,mixed,376,1,21,https://msd.unimelb.edu.au/current-students/subject-information/practical-experience,Practical Experience,subjects-timetable,subjects-timetable|enrolment|orientation,0
abp,ABP,faculty,current-students,content,mixed,356,1,22,https://msd.unimelb.edu.au/current-students/subject-information/subjects-with-a-travel-component,Subjects with a Travel Component,subjects-timetable|international,subjects-timetable|international|enrolment|placements-WIL,0
abp,ABP,faculty,current-students,content,mixed,549,1,21,https://msd.unimelb.edu.au/current-students/student-experience/peer-mentoring-program,MSD Peer Mentoring Program,student-life|academic-skills|contacts-support,student-life|careers-employability|graduation|orientation,0
abp,ABP,faculty,current-students,content,mixed,602,1,23,https://msd.unimelb.edu.au/current-students/student-experience/access-and-id-cards,Building Access and ID Cards,placements-WIL,student-life,0
abp,ABP,faculty,current-students,content,mixed,3247,1,22,https://msd.unimelb.edu.au/current-students/student-experience/it-support,IT Support | Current Students | Melbourne School of Design,IT-systems,IT-systems|student-life|contacts-support,0
abp,ABP,faculty,current-students,content,mixed,545,1,21,https://msd.unimelb.edu.au/current-students/student-experience/clubs-and-societies,Clubs and Societies | Melbourne School of Design,clubs-events|careers-employability,student-life|clubs-events|careers-employability|contacts-support,0
abp,ABP,faculty,current-students,content,mixed,671,1,21,https://msd.unimelb.edu.au/current-students/student-experience/student-newsletters,Student Newsletters,contacts-support,student-life|contacts-support,0
abp,ABP,faculty,current-students,content,mixed,657,1,21,https://msd.unimelb.edu.au/current-students/student-experience/graduate-ambassador-program,Student Ambassador & Leadership Program,student-life,student-life|careers-employability|graduation,0
abp,ABP,faculty,current-students,content,mixed,1858,1,22,https://msd.unimelb.edu.au/current-students/student-experience/abp-industry-mentoring,ABP Industry Mentoring,placements-WIL|careers-employability,careers-employability|student-life|graduation,0
abp,ABP,faculty,current-students,content,mixed,612,1,22,https://msd.unimelb.edu.au/current-students/student-experience/student-feedback-and-grievances,"Student Feedback, Complaints and Grievances",fees-finance,student-life|wellbeing-health,0
abp,ABP,faculty,current-students,content,mixed,461,1,21,https://msd.unimelb.edu.au/current-students/student-experience/student-forum,Student Forum | Current Students | Melbourne School of Design,<untagged>,student-life|graduation,0
abp,ABP,faculty,current-students,content,mixed,735,1,21,https://msd.unimelb.edu.au/current-students/student-experience/student-participation-on-faculty-committees-and-advisory-boards,Student Representation on Faculty Committees & Advisory Boards,<untagged>,student-life,0
abp,ABP,faculty,current-students,content,mixed,627,1,21,https://msd.unimelb.edu.au/current-students/student-experience/msdx-and-student-exhibitions,MSDx Student Resources,research-candidature,student-life|clubs-events|research-candidature,0
abp,ABP,faculty,current-students,content,mixed,528,1,21,https://msd.unimelb.edu.au/current-students/student-experience/deans-honours-awards,Dean's Honours Awards & Prizes,placements-WIL,graduation|student-life,0
abp,ABP,faculty,current-students,content,mixed,634,1,21,https://msd.unimelb.edu.au/current-students/student-experience/construction-ambassador-program,Construction Ambassador Program,student-life|careers-employability,careers-employability|student-life|contacts-support,0
abp,ABP,faculty,current-students,content,mixed,1199,1,45,https://msd.unimelb.edu.au/current-students/student-experience/employability-in-architecture-building-and-planning,"Employability in Architecture, Building & Planning",careers-employability,student-life|placements-WIL|forms-admin,0
abp,ABP,faculty,current-students,content,mixed,300,1,22,https://msd.unimelb.edu.au/current-students/course-planning,Course Planning | Current Students | MSD,course-planning|enrolment|subjects-timetable,course-planning|enrolment|contacts-support|subjects-timetable,0
abp,ABP,faculty,current-students,content,mixed,514,1,29,https://msd.unimelb.edu.au/current-students/enrolment,Enrolment | Current Students | Melbourne School of Design,enrolment|subjects-timetable|special-consideration,enrolment|subjects-timetable|special-consideration|forms-admin,0
abp,ABP,faculty,current-students,content,mixed,596,1,23,https://msd.unimelb.edu.au/current-students/subject-information,Subject Information | Melbourne School of Design,subjects-timetable|enrolment|clubs-events,subjects-timetable|enrolment|international,0
abp,ABP,faculty,current-students,content,mixed,663,1,23,https://msd.unimelb.edu.au/current-students/student-experience,Student Experience | Melbourne School of Design,international|academic-skills,student-life|academic-skills|international,0
abp,ABP,faculty,current-students,content,mixed,560,2,21,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/master-of-architecture,Master of Architecture Sample Course Plans,course-planning|placements-WIL,course-planning,0
abp,ABP,faculty,current-students,content,mixed,685,2,21,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/master-of-construction,Master of Construction Management Sample Course Plans,course-planning|placements-WIL,course-planning,0
abp,ABP,faculty,current-students,content,mixed,559,2,21,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/landscape-architecture-course-plans,Master of Landscape Architecture Course Plans,course-planning|placements-WIL,course-planning,0
abp,ABP,faculty,current-students,content,mixed,592,2,21,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/master-of-property,Master of Property Sample Course Plans,course-planning|placements-WIL,course-planning,0
abp,ABP,faculty,current-students,content,mixed,453,2,21,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/master-of-urban-and-cultural-heritage,Master of Urban and Cultural Heritage,course-planning|placements-WIL|subjects-timetable,course-planning|placements-WIL|research-candidature,0
abp,ABP,faculty,current-students,content,mixed,397,2,21,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/urban-design,Master of Urban Design Sample Course Plans,course-planning,course-planning|subjects-timetable,0
abp,ABP,faculty,current-students,content,mixed,530,2,21,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/urban-planning,Master of Urban Planning Sample Course Plans,course-planning,course-planning,0
abp,ABP,faculty,current-students,content,mixed,365,2,21,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/property-valuation,Graduate Diploma in Property Valuation Sample Course Plans,course-planning,course-planning|graduation|orientation,0
abp,ABP,faculty,current-students,content,mixed,582,2,21,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/master-of-architectural-engineering,Master of Architectural Engineering,course-planning|placements-WIL|subjects-timetable,course-planning|graduation|forms-admin|orientation,0
abp,ABP,faculty,current-students,content,mixed,916,2,23,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/double-masters,Double Masters Degrees,course-planning,course-planning|careers-employability|graduation,0
abp,ABP,faculty,current-students,stub,link-farm,0,2,0,https://msd.unimelb.edu.au/current-students/subject-information/travelling-studios/d02-application-for-travelling-studio,Redirecting...,subjects-timetable,subjects-timetable|forms-admin|international,0
abp,ABP,faculty,current-students,content,mixed,1001,2,26,https://msd.unimelb.edu.au/current-students/enrolment/list-of-forms/application-for-extension,Application for Extension,special-consideration|forms-admin|enrolment|exams-results,forms-admin|special-consideration|enrolment|contacts-support,0
abp,ABP,faculty,current-students,content,mixed,767,2,21,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-urban-planning,Master of Urban Planning Studio/Thesis,subjects-timetable|research-candidature|course-planning,subjects-timetable|research-candidature,0
abp,ABP,faculty,current-students,content,mixed,377,2,21,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-urban-design,Master of Urban Design Studios,subjects-timetable|placements-WIL|contacts-support,subjects-timetable,0
abp,ABP,faculty,current-students,content,mixed,343,2,21,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-landscape-architecture,Master of Landscape Architecture Studios,subjects-timetable,subjects-timetable|enrolment,0
abp,ABP,faculty,current-students,content,mixed,487,2,21,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture,Master of Architecture Studios,subjects-timetable|placements-WIL,subjects-timetable|orientation,0
abp,ABP,faculty,current-students,archive,mixed,297,2,21,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive,MSD Studios Archive,subjects-timetable|enrolment|course-planning,subjects-timetable|enrolment|course-planning|contacts-support,0
abp,ABP,faculty,current-students,content,mixed,780,2,21,https://msd.unimelb.edu.au/current-students/subject-information/travelling-studios/2026-subjects-with-international-travel/southeast-asia-travelling-studio,Southeast Asia Travelling Studio,subjects-timetable|international,subjects-timetable|international,0
abp,ABP,faculty,current-students,archive,mixed,578,2,21,https://msd.unimelb.edu.au/current-students/subject-information/travelling-studios/past-studios/2025,2025,subjects-timetable,subjects-timetable|international|student-life,0
abp,ABP,faculty,current-students,archive,mixed,1100,2,21,https://msd.unimelb.edu.au/current-students/subject-information/travelling-studios/past-studios/2023m-and-2024,2023 and 2024,subjects-timetable|international,subjects-timetable|international|student-life,0
abp,ABP,faculty,current-students,archive,mixed,789,2,21,https://msd.unimelb.edu.au/current-students/subject-information/travelling-studios/past-studios/2020,2019 Past Studios | Travelling Studios | MSD,subjects-timetable|international,subjects-timetable|international|inclusion-equity,0
abp,ABP,faculty,current-students,archive,mixed,1502,2,21,https://msd.unimelb.edu.au/current-students/subject-information/travelling-studios/past-studios/2019,2019 Past Studios | Travelling Studios | MSD,subjects-timetable|placements-WIL,subjects-timetable|international,0
abp,ABP,faculty,current-students,archive,mixed,991,2,21,https://msd.unimelb.edu.au/current-students/subject-information/travelling-studios/past-studios/2018,2018 Past Studios | Travelling Studios | MSD,subjects-timetable|international,subjects-timetable|international,0
abp,ABP,faculty,current-students,archive,mixed,1183,2,21,https://msd.unimelb.edu.au/current-students/subject-information/travelling-studios/past-studios/2017,2017 Past Studios | Travelling Studios | MSD,subjects-timetable|international,subjects-timetable|international|inclusion-equity,0
abp,ABP,faculty,current-students,archive,mixed,1445,2,21,https://msd.unimelb.edu.au/current-students/subject-information/travelling-studios/past-studios/2016,2016 Past Studios | Travelling Studios | MSD,subjects-timetable,subjects-timetable|international|fees-finance|contacts-support,0
abp,ABP,faculty,current-students,archive,mixed,1391,2,21,https://msd.unimelb.edu.au/current-students/subject-information/travelling-studios/past-studios/2015,2015 Past Studios | Travelling Studios | MSD,subjects-timetable,subjects-timetable|international,0
abp,ABP,faculty,current-students,archive,mixed,2444,2,21,https://msd.unimelb.edu.au/current-students/subject-information/travelling-studios/past-studios/2014,2014 Past Studios | Travelling Studios | MSD,subjects-timetable,subjects-timetable|international,0
abp,ABP,faculty,current-students,archive,mixed,1489,2,21,https://msd.unimelb.edu.au/current-students/subject-information/travelling-studios/past-studios/2013,2013 Past Studios | Travelling Studios | MSD,subjects-timetable|placements-WIL,subjects-timetable|international,0
abp,ABP,faculty,current-students,archive,mixed,1423,2,21,https://msd.unimelb.edu.au/current-students/subject-information/travelling-studios/past-studios/2012,2012 Past Studios | Travelling Studios | MSD,subjects-timetable,subjects-timetable|international,0
abp,ABP,faculty,current-students,archive,mixed,1196,2,21,https://msd.unimelb.edu.au/current-students/subject-information/travelling-studios/past-studios/2011,2011 Past Studios | Travelling Studios | MSD,subjects-timetable,subjects-timetable|international|contacts-support,0
abp,ABP,faculty,current-students,archive,mixed,807,2,21,https://msd.unimelb.edu.au/current-students/subject-information/travelling-studios/past-studios/2010,2010 Past Studios | Travelling Studios | MSD,subjects-timetable,subjects-timetable|international,0
abp,ABP,faculty,current-students,archive,mixed,1109,2,21,https://msd.unimelb.edu.au/current-students/subject-information/travelling-studios/past-studios/2009,2009 Past Studios | Travelling Studios | MSD,subjects-timetable,subjects-timetable|international,0
abp,ABP,faculty,current-students,archive,mixed,437,2,21,https://msd.unimelb.edu.au/current-students/subject-information/travelling-studios/past-studios/2008,2008 Past Studios | Travelling Studios | MSD,subjects-timetable|placements-WIL,subjects-timetable|international,0
abp,ABP,faculty,current-students,content,mixed,697,2,21,https://msd.unimelb.edu.au/current-students/subject-information/internships-vocational-placements/abpl90434-construction-management-internship,ABPL90434 Construction Management Internship,placements-WIL|subjects-timetable,placements-WIL|subjects-timetable|careers-employability|graduation,0
abp,ABP,faculty,current-students,content,mixed,668,2,21,https://msd.unimelb.edu.au/current-students/subject-information/internships-vocational-placements/abpl90434-construction-management-internship/how-to-apply,How to apply | ABPL90434,placements-WIL|forms-admin|subjects-timetable,placements-WIL|subjects-timetable|forms-admin,0
abp,ABP,faculty,current-students,stub,link-farm,0,2,0,https://msd.unimelb.edu.au/current-students/student-experience/peer-mentoring-program/register-for-msd-peer-mentoring,Redirecting...,student-life|academic-skills,student-life|forms-admin,0
abp,ABP,faculty,current-students,stub,link-farm,0,2,0,https://msd.unimelb.edu.au/current-students/student-experience/access-and-id-cards/student-card-access-error-webform,Redirecting...,<untagged>,student-life|forms-admin,0
abp,ABP,faculty,current-students,stub,link-farm,0,2,0,https://msd.unimelb.edu.au/current-students/student-experience/it-support/requestfeedback-form,Redirecting...,forms-admin|IT-systems,IT-systems|student-life|forms-admin|contacts-support,0
abp,ABP,faculty,current-students,content,mixed,1641,2,21,https://msd.unimelb.edu.au/current-students/student-experience/clubs-and-societies/information-for-clubs,Information for clubs,clubs-events|forms-admin,student-life|clubs-events|subjects-timetable|IT-systems,0
abp,ABP,faculty,current-students,stub,link-farm,0,2,0,https://msd.unimelb.edu.au/current-students/student-experience/student-newsletters/n01-edsc-newsletter-submission-form,Redirecting...,forms-admin,student-life|forms-admin,0
abp,ABP,faculty,current-students,content,mixed,585,2,21,https://msd.unimelb.edu.au/current-students/student-experience/msdx-and-student-exhibitions/key-dates,Key dates,subjects-timetable,student-life|clubs-events,0
abp,ABP,faculty,current-students,content,mixed,772,2,21,https://msd.unimelb.edu.au/current-students/student-experience/msdx-and-student-exhibitions/msd-student-curator-group,MSD Student Curator Group,subjects-timetable,student-life|clubs-events|subjects-timetable|contacts-support,0
abp,ABP,faculty,current-students,content,mixed,711,2,21,https://msd.unimelb.edu.au/current-students/student-experience/msdx-and-student-exhibitions/installation-tips,Install tips and equipment,placements-WIL,student-life|clubs-events|subjects-timetable,0
abp,ABP,faculty,current-students,archive,mixed,1877,2,21,https://msd.unimelb.edu.au/current-students/student-experience/deans-honours-awards/2023,Dean's Honours Awards 2023,<untagged>,student-life|graduation,0
abp,ABP,faculty,current-students,archive,mixed,1924,2,21,https://msd.unimelb.edu.au/current-students/student-experience/deans-honours-awards/2024,Dean's Honours Awards 2024,<untagged>,student-life|graduation,0
abp,ABP,faculty,current-students,content,mixed,954,3,21,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/double-masters/architecture-construction,Master of Architecture/Master of Construction,course-planning,course-planning|careers-employability|graduation,0
abp,ABP,faculty,current-students,content,mixed,786,3,21,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/double-masters/architecture-landscape-architecture,Master of Architecture/Master of Landscape Architecture,course-planning,course-planning|graduation,0
abp,ABP,faculty,current-students,content,mixed,647,3,21,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/double-masters/architecture-property,Master of Architecture/Master of Property,course-planning,course-planning|careers-employability|graduation,0
abp,ABP,faculty,current-students,content,mixed,676,3,21,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/double-masters/architecture-urban-design,Master of Architecture/Master of Urban Design,course-planning,course-planning|student-life,0
abp,ABP,faculty,current-students,content,mixed,651,3,21,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/double-masters/architecture-urban-cultural-heritage,Master of Architecture/Master of Urban and Cultural Heritage,course-planning,course-planning,0
abp,ABP,faculty,current-students,content,mixed,711,3,21,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/double-masters/architecture-urban-planning,Master of Architecture/Master of Urban Planning,course-planning,course-planning|student-life,0
abp,ABP,faculty,current-students,content,mixed,960,3,21,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/double-masters/construction-property,Master of Construction/Master of Property,course-planning,course-planning|careers-employability|graduation,0
abp,ABP,faculty,current-students,content,mixed,725,3,21,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/double-masters/landscape-architecture-urban-design,Master of Landscape Architecture/Master of Urban Design,course-planning,course-planning,0
abp,ABP,faculty,current-students,content,mixed,763,3,21,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/double-masters/landscape-urban-planning,Master of Landscape/Master of Urban Planning,course-planning,course-planning|student-life,0
abp,ABP,faculty,current-students,content,mixed,723,3,21,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/double-masters/property-urban-planning,Master of Property/Master of Urban Planning,course-planning,course-planning|careers-employability|student-life|graduation,0
abp,ABP,faculty,current-students,content,mixed,599,3,21,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/double-masters/urban-planning-urban-design,Master of Urban Planning/Master of Urban Design,course-planning,course-planning|student-life,0
abp,ABP,faculty,current-students,stub,link-farm,0,3,0,https://msd.unimelb.edu.au/current-students/enrolment/list-of-forms/application-for-extension/extension-application-form,Redirecting...,special-consideration|forms-admin|enrolment,forms-admin|special-consideration|enrolment,0
abp,ABP,faculty,current-students,content,mixed,565,3,21,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-urban-planning/up-2023_sm2-studios/mup-studio,MUP Studio,subjects-timetable|placements-WIL,subjects-timetable|research-candidature,0
abp,ABP,faculty,current-students,content,mixed,1518,3,21,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-urban-design/ud-2023_sm2-studios/studio-a,Studio A,subjects-timetable|placements-WIL,subjects-timetable|contacts-support,0
abp,ABP,faculty,current-students,content,mixed,1412,3,21,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/d_sm2_2025/the-city-as-design,The City as Design Project,subjects-timetable,subjects-timetable,0
abp,ABP,faculty,current-students,content,mixed,1076,3,21,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/d_sm2_2025/go-east-young-woman,Go East Young Wo(Man),subjects-timetable,subjects-timetable|student-life,0
abp,ABP,faculty,current-students,content,mixed,987,3,21,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-urban-design/ud-2023_sm2-studios/thesis-studio,Thesis Studio,research-candidature|subjects-timetable|placements-WIL,subjects-timetable|research-candidature,0
abp,ABP,faculty,current-students,content,mixed,815,3,21,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-landscape-architecture/la_sm1_2026/material-traces,MATERIAL TRACES,subjects-timetable,subjects-timetable,0
abp,ABP,faculty,current-students,content,mixed,1275,3,21,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-landscape-architecture/la_sm1_2026/darebin-resilience,DESIGNING RIPIARIAN SYSTEMS FOR RESILIENCE & CULTURAL MEANING,subjects-timetable,subjects-timetable,0
abp,ABP,faculty,current-students,content,mixed,791,3,21,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/c_sm1_2026/caretaker-studio,Caretaker Studio,subjects-timetable,subjects-timetable|IT-systems|inclusion-equity,0
abp,ABP,faculty,current-students,content,mixed,729,3,21,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/c_sm1_2026/unbounding-ground,Unbounding Ground,subjects-timetable|placements-WIL,subjects-timetable,0
abp,ABP,faculty,current-students,content,mixed,740,3,21,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/c_sm1_2026/narrating-ground,Narrating Ground,subjects-timetable,subjects-timetable,0
abp,ABP,faculty,current-students,content,mixed,811,3,21,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/c_sm1_2026/yern-da-ville,Yern-da-ville,subjects-timetable,subjects-timetable|special-consideration,0
abp,ABP,faculty,current-students,content,mixed,848,3,21,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/c_sm1_2026/html,HTML,subjects-timetable,subjects-timetable,0
abp,ABP,faculty,current-students,content,mixed,1347,3,21,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/c_sm1_2026/threshold,Threshold,subjects-timetable,subjects-timetable|student-life|contacts-support,0
abp,ABP,faculty,current-students,content,mixed,941,3,21,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/c_sm1_2026/five-mile-creek,Five Mile Creek,subjects-timetable,subjects-timetable|student-life|inclusion-equity,0
abp,ABP,faculty,current-students,content,mixed,662,3,21,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/c_sm1_2026/inland,Inland,subjects-timetable|placements-WIL,subjects-timetable,0
abp,ABP,faculty,current-students,content,mixed,1043,3,21,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/c_sm1_2026/the-mansion-and-the-lagoon,The Mansion and The Lagoon,subjects-timetable|placements-WIL,subjects-timetable,0
abp,ABP,faculty,current-students,content,mixed,1035,3,21,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/c_sm1_2026/healing-the-city,Healing the City,subjects-timetable,subjects-timetable,0
abp,ABP,faculty,current-students,content,mixed,940,3,21,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/c_sm1_2026/the-broken-box,The Broken Box,subjects-timetable,subjects-timetable,0
abp,ABP,faculty,current-students,content,mixed,773,3,21,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/c_sm1_2026/living-island,Living Island,subjects-timetable,subjects-timetable|student-life|clubs-events,0
abp,ABP,faculty,current-students,content,mixed,811,3,21,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/d_sm1_2026/nothing-special,Nothing Special,subjects-timetable,subjects-timetable,0
abp,ABP,faculty,current-students,content,mixed,958,3,21,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/d_sm1_2026/barbican,BARBICAN Independent London,subjects-timetable,subjects-timetable,0
abp,ABP,faculty,current-students,content,mixed,913,3,21,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/d_sm1_2026/denatured-visions,Sweating out the Toxins,subjects-timetable,subjects-timetable,0
abp,ABP,faculty,current-students,content,mixed,936,3,21,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/d_sm1_2026/basin,Basin,subjects-timetable,subjects-timetable,0
abp,ABP,faculty,current-students,content,mixed,1193,3,21,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/d_sm1_2026/church-studio,CHURCH Studio,subjects-timetable,subjects-timetable,0
abp,ABP,faculty,current-students,content,mixed,704,3,21,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/d_sm1_2026/flats,Flats,subjects-timetable,subjects-timetable,0
