topic,total,law,feit,arts,science,abp,fbe,education,ffam,mdhs,mbs,biomedical,dental
placements-WIL,186,9,13,17,2,26,0,18,0,94,0,7,0
subjects-timetable,174,33,5,27,16,65,0,6,9,0,1,10,2
course-planning,107,11,4,1,0,26,1,1,2,0,57,4,0
scholarships,100,8,66,4,13,0,5,1,2,1,0,0,0
research-candidature,96,11,17,19,6,11,8,0,10,1,13,0,0
orientation,76,7,48,5,7,0,1,1,1,2,1,3,0
international,74,25,21,7,0,4,0,2,2,5,7,1,0
student-life,68,12,22,14,10,3,1,3,1,0,1,1,0
careers-employability,63,13,7,7,2,5,0,22,4,1,0,2,0
<untagged>,60,1,20,4,13,2,15,0,2,1,1,1,0
clubs-events,46,1,27,3,3,4,0,2,1,2,0,3,0
enrolment,44,9,3,13,0,7,0,3,6,0,1,2,0
academic-skills,40,12,3,10,4,2,0,6,1,0,0,2,0
wellbeing-health,37,9,2,0,2,0,2,2,0,14,2,4,0
exams-results,27,5,3,0,0,1,2,9,4,2,1,0,0
contacts-support,26,1,2,3,2,3,0,2,0,12,1,0,0
forms-admin,23,4,0,3,0,4,1,3,2,3,1,0,2
fees-finance,22,1,1,2,0,2,2,2,2,3,7,0,0
inclusion-equity,18,5,5,3,1,0,0,1,0,2,1,0,0
IT-systems,14,2,4,0,0,1,4,2,0,0,1,0,0
special-consideration,11,2,1,0,0,2,0,6,0,0,0,0,0
library,1,0,0,1,0,0,0,0,0,0,0,0,0
