topic,old_count_allpages,new_count_allpages,new_count_content,fp_rate_vs_old
subjects-timetable,320,319,174,0.456
orientation,276,76,76,0.725
research-candidature,240,192,96,0.6
IT-systems,226,18,14,0.938
student-life,216,108,68,0.685
forms-admin,211,29,23,0.891
course-planning,207,115,107,0.483
placements-WIL,203,230,186,0.084
contacts-support,181,29,26,0.856
scholarships,142,113,100,0.296
careers-employability,137,80,63,0.54
international,132,100,74,0.439
graduation,128,0,0,1.0
clubs-events,103,52,46,0.553
wellbeing-health,89,46,37,0.584
enrolment,84,54,44,0.476
exams-results,79,30,27,0.658
inclusion-equity,50,22,18,0.64
academic-skills,36,47,40,-0.111
fees-finance,33,22,22,0.333
special-consideration,25,12,11,0.56
library,7,1,1,0.857
<untagged>,0,65,60,
