unit_slug,faculty,classification,page_type,wordCount,hubLinks,url,title,topOutboundHosts_exclChrome
abp,ABP,mixed,content,1239,34,https://msd.unimelb.edu.au/current-students,Current Students | Melbourne School of Design,students.unimelb.edu.au:26;msd.unimelb.edu.au:8;services.unimelb.edu.au:3
abp,ABP,mixed,content,343,21,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans,Sample Course Plans,students.unimelb.edu.au:14;msd.unimelb.edu.au:5;services.unimelb.edu.au:2
abp,ABP,mixed,content,417,25,https://msd.unimelb.edu.au/current-students/enrolment/list-of-forms,List of Forms | Current Students | Melbourne School of Design,students.unimelb.edu.au:18;msd.unimelb.edu.au:6;services.unimelb.edu.au:2
abp,ABP,mixed,content,373,21,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios,MSD Studios,students.unimelb.edu.au:14;msd.unimelb.edu.au:5;services.unimelb.edu.au:2
abp,ABP,mixed,content,1216,23,https://msd.unimelb.edu.au/current-students/subject-information/quota-subjects,Quota Subjects | Melbourne School of Design,handbook.unimelb.edu.au:29;students.unimelb.edu.au:16;msd.unimelb.edu.au:5
abp,ABP,mixed,content,831,22,https://msd.unimelb.edu.au/current-students/subject-information/travelling-studios,Travelling Studios | Melbourne School of Design,students.unimelb.edu.au:15;msd.unimelb.edu.au:7;services.unimelb.edu.au:2
abp,ABP,mixed,content,1271,23,https://msd.unimelb.edu.au/current-students/subject-information/internships-vocational-placements,Internships and Vocational Placements,students.unimelb.edu.au:16;msd.unimelb.edu.au:9;handbook.unimelb.edu.au:8
abp,ABP,mixed,content,376,21,https://msd.unimelb.edu.au/current-students/subject-information/practical-experience,Practical Experience,students.unimelb.edu.au:14;msd.unimelb.edu.au:6;services.unimelb.edu.au:2
abp,ABP,mixed,content,356,22,https://msd.unimelb.edu.au/current-students/subject-information/subjects-with-a-travel-component,Subjects with a Travel Component,students.unimelb.edu.au:15;msd.unimelb.edu.au:6;handbook.unimelb.edu.au:2
abp,ABP,mixed,content,549,21,https://msd.unimelb.edu.au/current-students/student-experience/peer-mentoring-program,MSD Peer Mentoring Program,students.unimelb.edu.au:14;msd.unimelb.edu.au:5;services.unimelb.edu.au:2
abp,ABP,mixed,content,602,23,https://msd.unimelb.edu.au/current-students/student-experience/access-and-id-cards,Building Access and ID Cards,students.unimelb.edu.au:16;msd.unimelb.edu.au:5;library.unimelb.edu.au:2
abp,ABP,mixed,content,3247,22,https://msd.unimelb.edu.au/current-students/student-experience/it-support,IT Support | Current Students | Melbourne School of Design,myuniapps.unimelb.edu.au:37;students.unimelb.edu.au:15;www.autodesk.com:8
abp,ABP,mixed,content,545,21,https://msd.unimelb.edu.au/current-students/student-experience/clubs-and-societies,Clubs and Societies | Melbourne School of Design,students.unimelb.edu.au:14;msd.unimelb.edu.au:5;umsu.unimelb.edu.au:2
abp,ABP,mixed,content,671,21,https://msd.unimelb.edu.au/current-students/student-experience/student-newsletters,Student Newsletters,students.unimelb.edu.au:14;msd.unimelb.edu.au:5;confirmsubscription.com:2
