unit_slug,faculty,level,page_type,url,title,wordCount,classification,topics
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students,Current Students | Melbourne School of Design,1239,mixed,subjects-timetable|enrolment|course-planning
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans,Sample Course Plans,343,mixed,course-planning|enrolment
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/enrolment/list-of-forms,List of Forms | Current Students | Melbourne School of Design,417,mixed,enrolment|forms-admin|course-planning
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios,MSD Studios,373,mixed,subjects-timetable
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/subject-information/quota-subjects,Quota Subjects | Melbourne School of Design,1216,mixed,subjects-timetable|clubs-events
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/subject-information/travelling-studios,Travelling Studios | Melbourne School of Design,831,mixed,subjects-timetable|placements-WIL|international|fees-finance
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/subject-information/internships-vocational-placements,Internships and Vocational Placements,1271,mixed,placements-WIL|subjects-timetable|careers-employability
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/subject-information/practical-experience,Practical Experience,376,mixed,subjects-timetable
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/subject-information/subjects-with-a-travel-component,Subjects with a Travel Component,356,mixed,subjects-timetable|international
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/student-experience/peer-mentoring-program,MSD Peer Mentoring Program,549,mixed,student-life|academic-skills|contacts-support
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/student-experience/access-and-id-cards,Building Access and ID Cards,602,mixed,placements-WIL
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/student-experience/it-support,IT Support | Current Students | Melbourne School of Design,3247,mixed,IT-systems
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/student-experience/clubs-and-societies,Clubs and Societies | Melbourne School of Design,545,mixed,clubs-events|careers-employability
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/student-experience/student-newsletters,Student Newsletters,671,mixed,contacts-support
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/student-experience/graduate-ambassador-program,Student Ambassador & Leadership Program,657,mixed,student-life
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/student-experience/abp-industry-mentoring,ABP Industry Mentoring,1858,mixed,placements-WIL|careers-employability
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/student-experience/student-feedback-and-grievances,"Student Feedback, Complaints and Grievances",612,mixed,fees-finance
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/student-experience/student-forum,Student Forum | Current Students | Melbourne School of Design,461,mixed,<untagged>
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/student-experience/student-participation-on-faculty-committees-and-advisory-boards,Student Representation on Faculty Committees & Advisory Boards,735,mixed,<untagged>
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/student-experience/msdx-and-student-exhibitions,MSDx Student Resources,627,mixed,research-candidature
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/student-experience/deans-honours-awards,Dean's Honours Awards & Prizes,528,mixed,placements-WIL
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/student-experience/construction-ambassador-program,Construction Ambassador Program,634,mixed,student-life|careers-employability
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/student-experience/employability-in-architecture-building-and-planning,"Employability in Architecture, Building & Planning",1199,mixed,careers-employability
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/course-planning,Course Planning | Current Students | MSD,300,mixed,course-planning|enrolment|subjects-timetable
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/enrolment,Enrolment | Current Students | Melbourne School of Design,514,mixed,enrolment|subjects-timetable|special-consideration
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/subject-information,Subject Information | Melbourne School of Design,596,mixed,subjects-timetable|enrolment|clubs-events
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/student-experience,Student Experience | Melbourne School of Design,663,mixed,international|academic-skills
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/master-of-architecture,Master of Architecture Sample Course Plans,560,mixed,course-planning|placements-WIL
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/master-of-construction,Master of Construction Management Sample Course Plans,685,mixed,course-planning|placements-WIL
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/landscape-architecture-course-plans,Master of Landscape Architecture Course Plans,559,mixed,course-planning|placements-WIL
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/master-of-property,Master of Property Sample Course Plans,592,mixed,course-planning|placements-WIL
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/master-of-urban-and-cultural-heritage,Master of Urban and Cultural Heritage,453,mixed,course-planning|placements-WIL|subjects-timetable
