faculty,title,wordCount,classification,url
law,Acceleration Guidelines,558,unique,https://law.unimelb.edu.au/students/jd/studies/acceleration-guidelines
law,Concurrent Diploma option with the JD,372,unique,https://law.unimelb.edu.au/students/jd/studies/concurrent-diploma
law,JD course planning and advice,689,mixed,https://law.unimelb.edu.au/students/jd/studies/course-planning
law,JD course structure and plans,837,unique,https://law.unimelb.edu.au/students/jd/studies/course-plans
law,Enrolment and Re-Enrolment | JD | Melbourne Law School,516,unique,https://law.unimelb.edu.au/students/jd/studies/enrolment
law,Time Commitment and Timetabling,500,unique,https://law.unimelb.edu.au/students/jd/studies/time-commitment-and-timetabling
law,Minor Thesis option,158,link-farm,https://law.unimelb.edu.au/students/masters/studies/minor-thesis-option
law,Melbourne Law Masters course planning,1379,unique,https://law.unimelb.edu.au/students/masters/studies/mlm-course-planning
law,Prerequisites and Recommended Requirements,248,unique,https://law.unimelb.edu.au/students/masters/studies/prerequisites-and-recommended-requirements
law,MLM student advising,372,mixed,https://law.unimelb.edu.au/students/masters/studies/student-advising
law,Subject delivery,560,unique,https://law.unimelb.edu.au/students/masters/studies/subject-delivery
feit,My Course Planner,2057,unique,https://eng.unimelb.edu.au/students/coursework/student-experience/orientation/before-orientation/further-support/my-course-planner
feit,Faculty Course Planning Resources,1270,mixed,https://eng.unimelb.edu.au/students/coursework/student-experience/orientation/before-orientation/further-support/faculty-course-planning-resources
arts,Diploma in Languages,456,mixed,https://arts.unimelb.edu.au/students/graduate-coursework/enrichment/diploma-in-languages
arts,Diploma in Languages,1212,mixed,https://arts.unimelb.edu.au/students/undergraduate/enrich-your-bachelor-of-arts/diploma-in-languages
arts,Overview of course structure,1369,mixed,https://arts.unimelb.edu.au/students/graduate-research/commencement/overview-of-course-structure
arts,Overview of course structure,1369,mixed,https://arts.unimelb.edu.au/students/graduate-research/commencement/overview-of-course-structure/_nocache
arts,Overview of course structure,1369,mixed,https://arts.unimelb.edu.au/students/graduate-research/plan-your-program2/overview-of-course-structure
arts,Audio/Visual loan equipment,331,unique,https://arts.unimelb.edu.au/students/audiovisual-loan-equipment
science,Course guide: Bachelor of Agriculture,1182,unique,https://science.unimelb.edu.au/students/course-guide-bachelor-of-agriculture
