topic,total,law,feit,arts,science,abp,fbe,education,ffam,mdhs,mbs,biomedical,dental
subjects-timetable,319,30,6,21,15,204,2,25,6,7,1,2,0
orientation,289,12,204,20,3,6,2,0,3,14,1,24,0
research-candidature,241,86,31,28,10,43,8,1,12,2,13,4,3
IT-systems,235,4,183,11,0,10,8,5,3,4,2,5,0
student-life,214,46,25,7,38,60,3,3,4,25,1,2,0
forms-admin,212,66,1,16,2,26,1,4,22,36,1,34,3
course-planning,207,11,2,6,26,29,8,20,6,4,58,37,0
placements-WIL,206,36,17,13,2,9,0,24,5,96,0,4,0
contacts-support,177,36,14,50,5,19,1,4,9,35,1,1,2
careers-employability,141,24,19,22,4,13,2,23,4,13,0,17,0
scholarships,141,20,71,11,13,1,5,5,6,6,0,0,3
international,135,55,25,10,0,28,0,0,2,7,7,1,0
graduation,125,0,21,61,0,20,2,1,8,11,0,1,0
clubs-events,104,15,34,7,5,15,0,7,9,7,0,5,0
wellbeing-health,87,15,3,2,3,3,2,3,1,44,2,9,0
enrolment,84,25,3,10,0,16,0,15,11,1,1,1,1
exams-results,78,24,3,6,0,0,2,23,8,10,1,1,0
inclusion-equity,49,15,6,6,1,11,0,0,1,8,1,0,0
academic-skills,37,11,4,3,3,5,2,4,2,1,0,2,0
fees-finance,33,6,0,4,0,6,2,4,1,0,7,0,3
special-consideration,25,3,1,0,0,6,0,13,2,0,0,0,0
library,7,2,0,3,0,2,0,0,0,0,0,0,0
