unit_slug,faculty,classification,wordCount,hubLinks,url,title,topOutboundHosts
law,Law,unique,617,3,https://law.unimelb.edu.au/students,MLS Students,www.unimelb.edu.au:11;law.unimelb.edu.au:6;about.unimelb.edu.au:5
law,Law,link-farm,19,0,https://law.unimelb.edu.au/students/academic-support-and-wellbeing,Academic Support and Wellbeing,www.unimelb.edu.au:7;law.unimelb.edu.au:5;about.unimelb.edu.au:4
law,Law,unique,565,2,https://law.unimelb.edu.au/students/academic-support-and-wellbeing/student-equity-and-disability-support,Student Equity and Disability Support,law.unimelb.edu.au:10;www.unimelb.edu.au:7;about.unimelb.edu.au:4
law,Law,unique,592,4,https://law.unimelb.edu.au/students/academic-support-and-wellbeing/wellbeing,Wellbeing,www.unimelb.edu.au:7;law.unimelb.edu.au:4;students.unimelb.edu.au:4
law,Law,link-farm,88,0,https://law.unimelb.edu.au/students/academic-support-and-wellbeing/wellbeing/contact-us,Contact us,www.unimelb.edu.au:7;law.unimelb.edu.au:4;about.unimelb.edu.au:4
law,Law,unique,660,2,https://law.unimelb.edu.au/students/academic-support-and-wellbeing/wellbeing/extensions,Extensions,www.unimelb.edu.au:7;law.unimelb.edu.au:4;about.unimelb.edu.au:4
law,Law,unique,418,2,https://law.unimelb.edu.au/students/academic-support-and-wellbeing/wellbeing/registration-for-ongoing-support,Registration for ongoing support,www.unimelb.edu.au:7;law.unimelb.edu.au:4;about.unimelb.edu.au:4
law,Law,unique,598,2,https://law.unimelb.edu.au/students/academic-support-and-wellbeing/wellbeing/special-consideration,Special consideration,www.unimelb.edu.au:7;law.unimelb.edu.au:4;about.unimelb.edu.au:4
law,Law,unique,408,3,https://law.unimelb.edu.au/students/admission-to-practice,Admission to Practice,www.unimelb.edu.au:7;law.unimelb.edu.au:4;about.unimelb.edu.au:4
law,Law,unique,712,3,https://law.unimelb.edu.au/students/biicl,British Institute of International and Comparative Law Internship,www.unimelb.edu.au:7;law.unimelb.edu.au:6;about.unimelb.edu.au:4
law,Law,unique,305,0,https://law.unimelb.edu.au/students/career-services,Career Services,:8;www.unimelb.edu.au:7;law.unimelb.edu.au:4
law,Law,unique,395,0,https://law.unimelb.edu.au/students/career-services/career-outcomes,Career Outcomes,law.unimelb.edu.au:9;www.unimelb.edu.au:7;about.unimelb.edu.au:4
law,Law,unique,181,0,https://law.unimelb.edu.au/students/career-services/career-pathways,Career Pathways,www.unimelb.edu.au:7;law.unimelb.edu.au:4;about.unimelb.edu.au:4
law,Law,link-farm,140,0,https://law.unimelb.edu.au/students/career-services/career-pathways/careers-in-academia-and-research,Careers in Research and Academia,www.unimelb.edu.au:7;law.unimelb.edu.au:4;about.unimelb.edu.au:4
law,Law,unique,161,0,https://law.unimelb.edu.au/students/career-services/career-pathways/careers-in-business,Careers in Business,www.unimelb.edu.au:7;law.unimelb.edu.au:4;about.unimelb.edu.au:4
law,Law,link-farm,144,0,https://law.unimelb.edu.au/students/career-services/career-pathways/careers-in-judiciary,Careers in Judiciary,www.unimelb.edu.au:7;law.unimelb.edu.au:5;about.unimelb.edu.au:4
law,Law,unique,329,0,https://law.unimelb.edu.au/students/career-services/career-pathways/careers-in-private-sector,Careers in Private Sector,www.unimelb.edu.au:7;law.unimelb.edu.au:4;about.unimelb.edu.au:4
law,Law,unique,356,0,https://law.unimelb.edu.au/students/career-services/career-pathways/careers-in-public-interest-and-government,Careers in Public Interest and Government,www.unimelb.edu.au:7;law.unimelb.edu.au:4;about.unimelb.edu.au:4
law,Law,unique,709,0,https://law.unimelb.edu.au/students/career-services/career-pathways/guide-to-becoming-a-barrister-in-victoria,Becoming a Barrister,www.unimelb.edu.au:7;law.unimelb.edu.au:4;about.unimelb.edu.au:4
law,Law,link-farm,140,0,https://law.unimelb.edu.au/students/career-services/career-pathways/other-career-paths,Other Career Paths,www.unimelb.edu.au:7;law.unimelb.edu.au:5;about.unimelb.edu.au:4
law,Law,mixed,857,22,https://law.unimelb.edu.au/students/career-services/services-and-resources,Employability in Law,students.unimelb.edu.au:22;www.unimelb.edu.au:9;law.unimelb.edu.au:4
law,Law,link-farm,108,0,https://law.unimelb.edu.au/students/career-services/services-and-resources/career-consultation,1:1 Career Consultations,www.unimelb.edu.au:7;law.unimelb.edu.au:4;about.unimelb.edu.au:4
law,Law,link-farm,157,0,https://law.unimelb.edu.au/students/career-services/services-and-resources/career-support-for-graduate-researchers,Career Support for Graduate Researchers,www.unimelb.edu.au:7;law.unimelb.edu.au:4;about.unimelb.edu.au:4
law,Law,unique,911,1,https://law.unimelb.edu.au/students/career-services/services-and-resources/ellis-program,ELLIS Program,www.unimelb.edu.au:7;law.unimelb.edu.au:4;about.unimelb.edu.au:4
law,Law,link-farm,72,0,https://law.unimelb.edu.au/students/career-services/services-and-resources/ellis-program/2023,2023,law.unimelb.edu.au:30;www.unimelb.edu.au:7;about.unimelb.edu.au:4
law,Law,unique,187,0,https://law.unimelb.edu.au/students/career-services/services-and-resources/ellis-program/2024,2024,www.unimelb.edu.au:7;law.unimelb.edu.au:4;about.unimelb.edu.au:4
law,Law,unique,1556,0,https://law.unimelb.edu.au/students/career-services/steps-to-practising-law,Steps to Practising Law,www.unimelb.edu.au:7;law.unimelb.edu.au:6;www.lawadmissions.vic.gov.au:4
law,Law,link-farm,89,0,https://law.unimelb.edu.au/students/further-study,Further study,www.unimelb.edu.au:7;law.unimelb.edu.au:4;about.unimelb.edu.au:4
law,Law,unique,349,1,https://law.unimelb.edu.au/students/grd,Graduate Researchers | Students | Melbourne Law School,www.unimelb.edu.au:11;law.unimelb.edu.au:7;about.unimelb.edu.au:5
law,Law,link-farm,63,0,https://law.unimelb.edu.au/students/grd/candidature-management/degree-requirements,Degree Requirements,www.unimelb.edu.au:7;law.unimelb.edu.au:4;about.unimelb.edu.au:4
law,Law,unique,355,0,https://law.unimelb.edu.au/students/grd/candidature-management/degree-requirements/graduate-research-coordinators,Graduate Research Coordinators,www.unimelb.edu.au:7;law.unimelb.edu.au:5;about.unimelb.edu.au:4
law,Law,unique,2857,0,https://law.unimelb.edu.au/students/grd/candidature-management/degree-requirements/mphil-law-milestones,MPhil (Law) Milestones,gradresearch.unimelb.edu.au:10;www.unimelb.edu.au:7;law.unimelb.edu.au:4
law,Law,unique,2912,0,https://law.unimelb.edu.au/students/grd/candidature-management/degree-requirements/phd-law-milestones,PhD (Law) Milestones,gradresearch.unimelb.edu.au:9;www.unimelb.edu.au:7;law.unimelb.edu.au:4
