unit_slug,faculty,level,url,title,wordCount,classification,topics
law,Law,faculty,https://law.unimelb.edu.au/students,MLS Students,617,unique,international
law,Law,faculty,https://law.unimelb.edu.au/students/academic-support-and-wellbeing,Academic Support and Wellbeing,19,link-farm,wellbeing-health|academic-skills|library|contacts-support
law,Law,faculty,https://law.unimelb.edu.au/students/academic-support-and-wellbeing/student-equity-and-disability-support,Student Equity and Disability Support,565,unique,wellbeing-health|inclusion-equity|contacts-support
law,Law,faculty,https://law.unimelb.edu.au/students/academic-support-and-wellbeing/wellbeing,Wellbeing,592,unique,wellbeing-health|contacts-support
law,Law,faculty,https://law.unimelb.edu.au/students/academic-support-and-wellbeing/wellbeing/contact-us,Contact us,88,link-farm,contacts-support|wellbeing-health|forms-admin
law,Law,faculty,https://law.unimelb.edu.au/students/academic-support-and-wellbeing/wellbeing/extensions,Extensions,660,unique,wellbeing-health|special-consideration|contacts-support|forms-admin
law,Law,faculty,https://law.unimelb.edu.au/students/academic-support-and-wellbeing/wellbeing/registration-for-ongoing-support,Registration for ongoing support,418,unique,wellbeing-health|special-consideration|contacts-support|forms-admin
law,Law,faculty,https://law.unimelb.edu.au/students/academic-support-and-wellbeing/wellbeing/special-consideration,Special consideration,598,unique,wellbeing-health|special-consideration|forms-admin|contacts-support
law,Law,faculty,https://law.unimelb.edu.au/students/admission-to-practice,Admission to Practice,408,unique,careers-employability|enrolment|exams-results|placements-WIL
law,Law,faculty,https://law.unimelb.edu.au/students/biicl,British Institute of International and Comparative Law Internship,712,unique,international|placements-WIL|clubs-events
law,Law,faculty,https://law.unimelb.edu.au/students/career-services,Career Services,305,unique,careers-employability|contacts-support
law,Law,faculty,https://law.unimelb.edu.au/students/career-services/career-outcomes,Career Outcomes,395,unique,careers-employability
law,Law,faculty,https://law.unimelb.edu.au/students/career-services/career-pathways,Career Pathways,181,unique,careers-employability|forms-admin
law,Law,faculty,https://law.unimelb.edu.au/students/career-services/career-pathways/careers-in-academia-and-research,Careers in Research and Academia,140,link-farm,careers-employability|placements-WIL|forms-admin
law,Law,faculty,https://law.unimelb.edu.au/students/career-services/career-pathways/careers-in-business,Careers in Business,161,unique,careers-employability|forms-admin
law,Law,faculty,https://law.unimelb.edu.au/students/career-services/career-pathways/careers-in-judiciary,Careers in Judiciary,144,link-farm,careers-employability|forms-admin|international
law,Law,faculty,https://law.unimelb.edu.au/students/career-services/career-pathways/careers-in-private-sector,Careers in Private Sector,329,unique,careers-employability|forms-admin|international
law,Law,faculty,https://law.unimelb.edu.au/students/career-services/career-pathways/careers-in-public-interest-and-government,Careers in Public Interest and Government,356,unique,careers-employability|forms-admin|international
law,Law,faculty,https://law.unimelb.edu.au/students/career-services/career-pathways/guide-to-becoming-a-barrister-in-victoria,Becoming a Barrister,709,unique,careers-employability|exams-results
law,Law,faculty,https://law.unimelb.edu.au/students/career-services/career-pathways/other-career-paths,Other Career Paths,140,link-farm,careers-employability|forms-admin
law,Law,faculty,https://law.unimelb.edu.au/students/career-services/services-and-resources,Employability in Law,857,mixed,careers-employability|contacts-support
law,Law,faculty,https://law.unimelb.edu.au/students/career-services/services-and-resources/career-consultation,1:1 Career Consultations,108,link-farm,careers-employability|placements-WIL|contacts-support
law,Law,faculty,https://law.unimelb.edu.au/students/career-services/services-and-resources/career-support-for-graduate-researchers,Career Support for Graduate Researchers,157,link-farm,careers-employability|contacts-support|research-candidature
law,Law,faculty,https://law.unimelb.edu.au/students/career-services/services-and-resources/ellis-program,ELLIS Program,911,unique,careers-employability|international
law,Law,faculty,https://law.unimelb.edu.au/students/career-services/services-and-resources/ellis-program/2023,2023,72,link-farm,careers-employability|wellbeing-health|forms-admin|international
law,Law,faculty,https://law.unimelb.edu.au/students/career-services/services-and-resources/ellis-program/2024,2024,187,unique,careers-employability|international
law,Law,faculty,https://law.unimelb.edu.au/students/career-services/steps-to-practising-law,Steps to Practising Law,1556,unique,careers-employability
law,Law,faculty,https://law.unimelb.edu.au/students/further-study,Further study,89,link-farm,research-candidature|student-life
